Region,Year,Const2018,Current,Consumption_Growth,Area_display,Area_slug,Consumption_Source_Granularity,Is_Broadcast
NCR,2018,228147,228147,,Caloocan,caloocan,region,1
NCR,2018,228147,228147,,Las Piñas,las pinas,region,1
NCR,2018,228147,228147,,Makati,makati,region,1
NCR,2018,228147,228147,,Malabon,malabon,region,1
NCR,2018,228147,228147,,Mandaluyong,mandaluyong,region,1
NCR,2018,228147,228147,,Manila,manila,region,1
NCR,2018,228147,228147,,Marikina,marikina,region,1
NCR,2018,228147,228147,,Muntinlupa,muntinlupa,region,1
NCR,2018,228147,228147,,Navotas,navotas,region,1
NCR,2018,228147,228147,,Parañaque,paranaque,region,1
NCR,2018,228147,228147,,Pasay City,pasay city,region,1
NCR,2018,228147,228147,,Pasig,pasig,region,1
NCR,2018,228147,228147,,Pateros,pateros,region,1
NCR,2018,228147,228147,,Quezon City,quezon city,region,1
NCR,2018,228147,228147,,San Juan,san juan,region,1
NCR,2018,228147,228147,,Taguig,taguig,region,1
NCR,2018,228147,228147,,Valenzuela,valenzuela,region,1
NCR,2019,239835,244668,5.123012794382564,Caloocan,caloocan,region,1
NCR,2019,239835,244668,5.123012794382564,Las Piñas,las pinas,region,1
NCR,2019,239835,244668,5.123012794382564,Makati,makati,region,1
NCR,2019,239835,244668,5.123012794382564,Malabon,malabon,region,1
NCR,2019,239835,244668,5.123012794382564,Mandaluyong,mandaluyong,region,1
NCR,2019,239835,244668,5.123012794382564,Manila,manila,region,1
NCR,2019,239835,244668,5.123012794382564,Marikina,marikina,region,1
NCR,2019,239835,244668,5.123012794382564,Muntinlupa,muntinlupa,region,1
NCR,2019,239835,244668,5.123012794382564,Navotas,navotas,region,1
NCR,2019,239835,244668,5.123012794382564,Parañaque,paranaque,region,1
NCR,2019,239835,244668,5.123012794382564,Pasay City,pasay city,region,1
NCR,2019,239835,244668,5.123012794382564,Pasig,pasig,region,1
NCR,2019,239835,244668,5.123012794382564,Pateros,pateros,region,1
NCR,2019,239835,244668,5.123012794382564,Quezon City,quezon city,region,1
NCR,2019,239835,244668,5.123012794382564,San Juan,san juan,region,1
NCR,2019,239835,244668,5.123012794382564,Taguig,taguig,region,1
NCR,2019,239835,244668,5.123012794382564,Valenzuela,valenzuela,region,1
NCR,2020,216784,225603,-9.611191027164512,Caloocan,caloocan,region,1
NCR,2020,216784,225603,-9.611191027164512,Las Piñas,las pinas,region,1
NCR,2020,216784,225603,-9.611191027164512,Makati,makati,region,1
NCR,2020,216784,225603,-9.611191027164512,Malabon,malabon,region,1
NCR,2020,216784,225603,-9.611191027164512,Mandaluyong,mandaluyong,region,1
NCR,2020,216784,225603,-9.611191027164512,Manila,manila,region,1
NCR,2020,216784,225603,-9.611191027164512,Marikina,marikina,region,1
NCR,2020,216784,225603,-9.611191027164512,Muntinlupa,muntinlupa,region,1
NCR,2020,216784,225603,-9.611191027164512,Navotas,navotas,region,1
NCR,2020,216784,225603,-9.611191027164512,Parañaque,paranaque,region,1
NCR,2020,216784,225603,-9.611191027164512,Pasay City,pasay city,region,1
NCR,2020,216784,225603,-9.611191027164512,Pasig,pasig,region,1
NCR,2020,216784,225603,-9.611191027164512,Pateros,pateros,region,1
NCR,2020,216784,225603,-9.611191027164512,Quezon City,quezon city,region,1
NCR,2020,216784,225603,-9.611191027164512,San Juan,san juan,region,1
NCR,2020,216784,225603,-9.611191027164512,Taguig,taguig,region,1
NCR,2020,216784,225603,-9.611191027164512,Valenzuela,valenzuela,region,1
NCR,2021,215215,231661,-0.7237619012473218,Caloocan,caloocan,region,1
NCR,2021,215215,231661,-0.7237619012473218,Las Piñas,las pinas,region,1
NCR,2021,215215,231661,-0.7237619012473218,Makati,makati,region,1
NCR,2021,215215,231661,-0.7237619012473218,Malabon,malabon,region,1
NCR,2021,215215,231661,-0.7237619012473218,Mandaluyong,mandaluyong,region,1
NCR,2021,215215,231661,-0.7237619012473218,Manila,manila,region,1
NCR,2021,215215,231661,-0.7237619012473218,Marikina,marikina,region,1
NCR,2021,215215,231661,-0.7237619012473218,Muntinlupa,muntinlupa,region,1
