Region,Year,Const2018,Current,Consumption_Growth
NCR,2018,228147,228147,
NCR,2019,239835,244668,5.123012794382564
NCR,2020,216784,225603,-9.611191027164512
NCR,2021,215215,231661,-0.7237619012473218
NCR,2022,234519,265513,8.969635016146649
NCR,2023,245606,291144,4.7275487273952255
Region III (Central Luzon),2018,151004,151004,
Region III (Central Luzon),2019,156501,160106,3.64030091918095
Region III (Central Luzon),2020,142924,149709,-8.675343927514845
Region III (Central Luzon),2021,142223,155646,-0.49047045982479887
Region III (Central Luzon),2022,150809,176296,6.036998235165902
Region III (Central Luzon),2023,157109,194820,4.177469514418908
Region IV-A (CALABARZON),2018,142974,142974,
Region IV-A (CALABARZON),2019,148586,151565,3.925189195238299
Region IV-A (CALABARZON),2020,133961,139881,-9.842784649967019
Region IV-A (CALABARZON),2021,137597,149639,2.7142227961869603
Region IV-A (CALABARZON),2022,146502,167133,6.471798076992963
Region IV-A (CALABARZON),2023,152754,182567,4.2675185321702
