Region,Area_display,Area_slug,listings,price_median,price_mean,ppsqm_floor_median,ppsqm_floor_mean,ppsqm_land_median,ppsqm_land_mean,bedrooms_median,bedrooms_mean,bathrooms_median,bathrooms_mean,floor_area_median,floor_area_mean,land_area_median,land_area_mean,price_IQR
NCR,Caloocan,caloocan,6,4500000.0,4679666.666666667,60040.223665,58989.50603166667,65777.77778,78051.498956,3.0,3.0,2.0,1.8333333333333333,80.0,80.33333333333333,56.25,63.85,676500.0
NCR,Makati,makati,5,78000000.0,67800000.0,245398.773,205455.449296,240000.0,265702.0499,3.5,3.5,2.5,2.5,300.0,384.676,325.0,281.06,2000000.0
NCR,Mandaluyong,mandaluyong,4,28500000.0,41700000.0,127968.75,162155.1067,182783.9967,225028.361975,4.0,3.75,3.5,3.25,251.5,306.25,200.5,222.0,22800000.0
NCR,Manila,manila,3,13000000.0,17300000.0,83055.555555,83055.555555,226666.6667,212222.2222333333,3.0,4.0,5.0,5.0,155.0,155.0,52.5,94.16666666666669,7550000.0
NCR,Marikina,marikina,10,9700000.0,12740000.0,77615.29809,77282.81798555556,82011.64471,76906.232204,3.0,3.5,2.5,2.4,180.0,179.2111111111111,192.0,205.681,9825000.0
NCR,Muntinlupa,muntinlupa,66,28727000.0,30909669.69696969,126709.7817,115453.75028636363,278057.1429,232602.653216,3.0,3.4461538461538463,3.0,3.28125,219.3,264.6751515151515,94.0,174.4,5999750.0
NCR,Pasig,pasig,24,24500000.0,26552500.0,71845.23809500001,98514.48370333332,123404.2553,148823.2116926087,4.0,4.541666666666667,3.0,3.659090909090909,210.0,272.1791666666667,150.0,172.2173913043478,20720000.0
NCR,Quezon City,quezon city,86,16247500.0,24667743.59302325,77575.75758,97243.87615409638,152400.8351,171279.38805035292,4.0,3.7906976744186047,3.0,3.4235294117647057,197.0,224.03180722891565,80.0,165.54188235294117,23150000.0
NCR,San Juan,san juan,17,30000000.0,31719092.17647059,133030.303,119537.3898329412,96153.84615,231577.0053453333,4.0,3.941176470588236,3.0,3.3529411764705883,257.0,292.52941176470586,200.0,265.868,24050000.0
NCR,Taguig,taguig,7,35000000.0,36588892.14285714,134146.3415,168930.4323857143,303323.8667,283685.22857142857,4.0,3.857142857142857,3.0,3.2857142857142856,172.0,235.3242857142857,105.0,155.0,26438877.5
NCR,Valenzuela,valenzuela,3,9200000.0,8132145.0,76666.66667,75100.68428333334,141538.4615,129169.75211333334,3.0,3.6666666666666665,3.0,3.333333333333333,120.0,107.33333333333331,65.0,63.333333333333336,1901782.5
Region III (Central Luzon),Bulacan,bulacan,1,2182300.0,2182300.0,82350.9434,82350.9434,20395.3271,20395.3271,,,,,26.5,26.5,107.0,107.0,0.0
Region III (Central Luzon),Tarlac,tarlac,46,5740500.0,6519689.130434782,92974.338865,90670.67792369564,60566.28788,58025.18158565218,3.0,3.1555555555555554,2.0,1.9555555555555555,63.0,77.19565217391305,99.0,115.06521739130434,3799500.0
