Region,Area_display,Area_slug,price,price_per_sqm_floor,price_per_sqm_land,bedrooms,bathrooms,floor_area,land_area,latitude,longitude,description,location
Region III (Central Luzon),Tarlac,tarlac,7810000,78100.0,71000.0,5.0,3.0,100.0,110.0,,,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac"
NCR,Muntinlupa,muntinlupa,28650000,130642.9549,318333.3333,3.0,3.0,219.3,90.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
Region III (Central Luzon),Tarlac,tarlac,5251000,99075.4717,59670.45455,2.0,2.0,53.0,88.0,,,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac"
Region III (Central Luzon),Tarlac,tarlac,11757000,70825.3012,66801.13636,5.0,3.0,166.0,176.0,,,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac"
NCR,Muntinlupa,muntinlupa,32342000,130727.5667,347763.4409,3.0,3.0,247.4,93.0,14.4378843,121.0503212,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,26393000,120351.1172,290032.967,3.0,3.0,219.3,91.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,32184000,130088.9248,349826.087,3.0,3.0,247.4,92.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,13500000,96428.57143,56250.0,3.0,2.0,140.0,240.0,,,"Single Detached House for Sale near EVIA and MCX, Muntinlupa","Victoria South Alabang Tunasan, Muntinlupa"
NCR,Muntinlupa,muntinlupa,31706000,128156.831,344630.4348,3.0,3.0,247.4,92.0,14.4270005,121.0452782,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,28804000,131345.1892,316527.4725,3.0,3.0,219.3,91.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,28678000,130770.6338,315142.8571,3.0,3.0,219.3,91.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,27676000,126201.5504,304131.8681,3.0,3.0,219.3,91.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
Region III (Central Luzon),Tarlac,tarlac,10748000,64746.98795,75160.83916,5.0,3.0,166.0,143.0,,,RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 143sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac"
NCR,Muntinlupa,muntinlupa,26365000,120223.4382,292944.4444,3.0,3.0,219.3,90.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
NCR,Muntinlupa,muntinlupa,28348000,129265.8459,269980.9524,3.0,3.0,219.3,105.0,14.4270005,121.0452782,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa"
