Region,Province,City,EMP_w_2024,months_observed_2024
NCR,NCR,Caloocan City,468326,8
NCR,NCR,City of Manila,854936,8
NCR,NCR,Las Pinas City,208612,8
NCR,NCR,Makati City,652229,8
NCR,NCR,Malabon City,130835,8
NCR,NCR,Mandaluyong City,304059,8
NCR,NCR,Marikina City,210669,8
NCR,NCR,Muntinlupa City,320344,8
NCR,NCR,Navotas City,84523,8
NCR,NCR,Paranaque City,396355,8
NCR,NCR,Pasay City,325218,8
NCR,NCR,Pasig City,539566,8
NCR,NCR,Quezon City,1825229,8
NCR,NCR,San Juan City,67004,8
NCR,NCR,Taguig City,653810,8
NCR,NCR,Valenzuela City,277294,8
Region III (Central Luzon),Bataan,Balanga City,62673,8
Region III (Central Luzon),Bulacan,Malolos City,80963,8
Region III (Central Luzon),Bulacan,Meycauayan City,91307,8
Region III (Central Luzon),Bulacan,San Jose del Monte City,194651,8
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,210001,8
Region III (Central Luzon),Nueva Ecija,Gapan City,25061,8
Region III (Central Luzon),Nueva Ecija,Palayan City,3407,8
Region III (Central Luzon),Nueva Ecija,San Jose City,46542,8
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,123775,8
Region III (Central Luzon),Pampanga,Angeles City,354647,8
Region III (Central Luzon),Pampanga,Mabalacat City,140359,8
Region III (Central Luzon),Pampanga,San Fernando City,215250,8
Region III (Central Luzon),Tarlac,Tarlac City,124945,8
Region III (Central Luzon),Zambales,Olongapo City,128100,8
Region IV-A (CALABARZON),Batangas,Batangas City,109530,8
Region IV-A (CALABARZON),Batangas,Lipa City,239550,8
Region IV-A (CALABARZON),Batangas,Tanauan City,109435,8
Region IV-A (CALABARZON),Cavite,Bacoor City,140140,8
Region IV-A (CALABARZON),Cavite,Cavite City,112393,8
Region IV-A (CALABARZON),Cavite,City of Carmona,120984,8
Region IV-A (CALABARZON),Cavite,Dasmarinas City,218142,8
Region IV-A (CALABARZON),Cavite,General Trias City,292940,8
Region IV-A (CALABARZON),Cavite,Imus City,139681,8
Region IV-A (CALABARZON),Cavite,Tagaytay City,18787,8
Region IV-A (CALABARZON),Cavite,Trece Martires City,46116,8
Region IV-A (CALABARZON),Laguna,Binan City,200092,8
Region IV-A (CALABARZON),Laguna,Cabuyao City,246644,8
Region IV-A (CALABARZON),Laguna,Calamba City,236955,8
Region IV-A (CALABARZON),Laguna,San Pablo City,95728,8
Region IV-A (CALABARZON),Laguna,San Pedro City,44474,8
Region IV-A (CALABARZON),Laguna,Santa Rosa City,243455,8
Region IV-A (CALABARZON),Quezon,Lucena City,123763,8
Region IV-A (CALABARZON),Quezon,Tayabas City,66887,8
Region IV-A (CALABARZON),Rizal,Antipolo City,300976,8
