Region,Province,City,EMP_w_2024,months_observed_2024,ts_model_selected
NCR,NCR,Caloocan City,468325.625,8,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,854935.9999999999,8,seasonal_index
NCR,NCR,Las Pinas City,208612.125,8,"ETS(A,?,A)_log"
NCR,NCR,Makati City,652229.1249999999,8,"ETS(A,?,A)_log"
NCR,NCR,Malabon City,130835.49999999999,8,"ETS(A,?,A)_log"
NCR,NCR,Mandaluyong City,304059.375,8,"ETS(A,?,A)_log"
NCR,NCR,Marikina City,210669.25000000003,8,seasonal_index
NCR,NCR,Muntinlupa City,320344.24999999994,8,"ETS(A,?,A)_log"
NCR,NCR,Navotas City,84523.00000000001,8,seasonal_index
NCR,NCR,Paranaque City,396355.24999999994,8,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,325218.375,8,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,539566.3750000001,8,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,1825228.75,8,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,67003.75,8,seasonal_index
NCR,NCR,Taguig City,653810.3749999999,8,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,277294.125,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,62672.5,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,80962.87500000001,8,seasonal_index
Region III (Central Luzon),Bulacan,Meycauayan City,91306.75000000001,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,194650.99999999997,8,seasonal_index
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,209640.48527092117,8,seasonal_index
Region III (Central Luzon),Nueva Ecija,Gapan City,25060.75,8,seasonal_index
Region III (Central Luzon),Nueva Ecija,Palayan City,3407.0000000000005,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,46542.00000000001,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,123775.12500000001,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,Angeles City,353880.64594645536,8,seasonal_index
Region III (Central Luzon),Pampanga,Mabalacat City,140358.625,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Pampanga,San Fernando City,215250.0,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Tarlac,Tarlac City,124945.4825927837,8,"ETS(A,?,A)_log"
Region III (Central Luzon),Zambales,Olongapo City,128100.39242746677,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Batangas,Batangas City,109530.375,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Batangas,Lipa City,239549.75,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Batangas,Tanauan City,109435.00000000001,8,seasonal_index
Region IV-A (CALABARZON),Cavite,Bacoor City,140140.24999999997,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Cavite,Cavite City,112392.5,8,seasonal_index
Region IV-A (CALABARZON),Cavite,City of Carmona,120670.37499999999,8,seasonal_index
Region IV-A (CALABARZON),Cavite,Dasmarinas City,218141.98132155617,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Cavite,General Trias City,292939.6300745081,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Cavite,Imus City,139681.24999999997,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Cavite,Tagaytay City,18787.37074106259,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Cavite,Trece Martires City,46115.75,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Laguna,Binan City,200092.375,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Laguna,Cabuyao City,242128.97358984232,8,seasonal_index
Region IV-A (CALABARZON),Laguna,Calamba City,236954.87499999997,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Laguna,San Pablo City,95727.75,8,seasonal_index
Region IV-A (CALABARZON),Laguna,San Pedro City,44473.75000000001,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Laguna,Santa Rosa City,246356.00595690633,8,seasonal_index
Region IV-A (CALABARZON),Quezon,Lucena City,123763.12500000001,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Quezon,Tayabas City,66886.73426277448,8,"ETS(A,?,A)_log"
Region IV-A (CALABARZON),Rizal,Antipolo City,300976.12500000006,8,"ETS(A,?,A)_log"
