Region,Province,City,MASE_ETS,sMAPE_ETS,ETS_status
NCR,NCR,Caloocan City,0.43766933592328194,0.0501531894547107,ok
NCR,NCR,City of Manila,1.9844861619791343,0.11476757281981452,ok
NCR,NCR,Las Pinas City,0.84915858168698,0.12509240748307754,ok
NCR,NCR,Makati City,1.136918674345112,0.08870832484076169,ok
NCR,NCR,Malabon City,0.8553462679017747,0.13101158012796218,ok
NCR,NCR,Mandaluyong City,0.43284606508512363,0.05835174973684228,ok
NCR,NCR,Marikina City,1.2890180126136783,0.1698637518101571,ok
NCR,NCR,Muntinlupa City,0.5316349368426735,0.10851088150461445,ok
NCR,NCR,Navotas City,0.9637215607390761,0.2140017293960932,ok
NCR,NCR,Paranaque City,0.6472511344669655,0.07636401712624168,ok
NCR,NCR,Pasay City,0.6531777777944335,0.09113790330775769,ok
NCR,NCR,Pasig City,0.24617579620821897,0.04804220458888991,ok
NCR,NCR,Quezon City,0.5374989552331754,0.04654902888550955,ok
NCR,NCR,San Juan City,0.9131331340995028,0.18619898442575356,ok
NCR,NCR,Taguig City,0.47358105027333725,0.0728280049259334,ok
NCR,NCR,Valenzuela City,1.1281070138999718,0.1476537057016176,ok
Region III (Central Luzon),Bataan,Balanga City,0.851666884637887,0.489777470053159,ok
Region III (Central Luzon),Bulacan,Malolos City,1.2150285292181853,0.8095653132022771,ok
Region III (Central Luzon),Bulacan,Meycauayan City,0.6645424379525527,0.8226791592450663,ok
Region III (Central Luzon),Bulacan,San Jose del Monte City,1.758815375814101,1.5175281889094687,ok
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,1.3703439415377066,0.6415825827497155,ok
Region III (Central Luzon),Nueva Ecija,Gapan City,0.8750209063256655,1.707597600673716,ok
Region III (Central Luzon),Nueva Ecija,Palayan City,1.7056532018362203,1.6700359829184988,ok
Region III (Central Luzon),Nueva Ecija,San Jose City,0.806581057271137,1.9938307331018192,ok
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,0.9061974699878395,1.9983616994284292,ok
Region III (Central Luzon),Pampanga,Angeles City,0.7048923305332777,0.17260382899124324,ok
Region III (Central Luzon),Pampanga,Mabalacat City,1.053712060687248,0.6004462667353037,ok
Region III (Central Luzon),Pampanga,San Fernando City,0.8882629502339539,0.4642505288370988,ok
Region III (Central Luzon),Tarlac,Tarlac City,1.2341923265186028,0.4885778379128791,ok
Region III (Central Luzon),Zambales,Olongapo City,0.5141521830942071,0.0804751801732959,ok
Region IV-A (CALABARZON),Batangas,Batangas City,0.5781008837281377,0.6379061735043243,ok
Region IV-A (CALABARZON),Batangas,Lipa City,1.0560617320604708,0.6478083147816832,ok
Region IV-A (CALABARZON),Batangas,Tanauan City,0.9047758422228139,1.1194583309826736,ok
Region IV-A (CALABARZON),Cavite,Bacoor City,0.6728650515590734,0.6365777209176722,ok
Region IV-A (CALABARZON),Cavite,Cavite City,2.6954629424317416,0.9942115683044342,ok
Region IV-A (CALABARZON),Cavite,City of Carmona,0.7602824912764735,0.7539725269956893,ok
Region IV-A (CALABARZON),Cavite,Dasmarinas City,0.6103387483359116,0.4858584899049268,ok
Region IV-A (CALABARZON),Cavite,General Trias City,0.9465624245134664,0.7959848262275506,ok
Region IV-A (CALABARZON),Cavite,Imus City,1.467346587412746,0.6760972304646575,ok
Region IV-A (CALABARZON),Cavite,Tagaytay City,1.0523020576384363,1.0008073837103602,ok
Region IV-A (CALABARZON),Cavite,Trece Martires City,0.11395595637506759,0.7465968562955493,ok
Region IV-A (CALABARZON),Laguna,Binan City,0.5779089204474298,0.7118767706725259,ok
Region IV-A (CALABARZON),Laguna,Cabuyao City,0.960904540346729,0.8276593467490002,ok
Region IV-A (CALABARZON),Laguna,Calamba City,0.6057859725010667,0.5922776859394739,ok
Region IV-A (CALABARZON),Laguna,San Pablo City,0.7624941581116096,1.3931198953352402,ok
Region IV-A (CALABARZON),Laguna,San Pedro City,1.2422464635691075,0.8496125787606746,ok
Region IV-A (CALABARZON),Laguna,Santa Rosa City,0.8957501111214986,0.5878213450050509,ok
Region IV-A (CALABARZON),Quezon,Lucena City,1.2140359789116624,0.10722698340195909,ok
Region IV-A (CALABARZON),Quezon,Tayabas City,0.38750280512111357,1.4161444388151354,ok
Region IV-A (CALABARZON),Rizal,Antipolo City,0.8057991040816584,0.3328405423585274,ok
