Region,Province,City,chosen_model,MASE_sNaive,MASE_sIndex,MASE_ETS,sMAPE_sNaive,sMAPE_sIndex,sMAPE_ETS
NCR,NCR,Caloocan City,"ETS(A,?,A)_log",0.8614130448892434,0.5415441739124857,0.43766933592328194,0.09924227302526133,0.06256711771109975,0.0501531894547107
NCR,NCR,City of Manila,seasonal_index,1.9826940780405293,1.830711657083941,1.9844861619791343,0.11459976675615836,0.10548997890847572,0.11476757281981452
NCR,NCR,Las Pinas City,"ETS(A,?,A)_log",1.3532199705900616,1.2444232857553714,0.84915858168698,0.20087648917938913,0.19146726681601692,0.12509240748307754
NCR,NCR,Makati City,"ETS(A,?,A)_log",1.4246610267318942,1.5346446970195837,1.136918674345112,0.11203793928083218,0.12123343382771118,0.08870832484076169
NCR,NCR,Malabon City,"ETS(A,?,A)_log",1.369883435117171,1.1186255817688964,0.8553462679017747,0.21742339494236038,0.17710278443578323,0.13101158012796218
NCR,NCR,Mandaluyong City,"ETS(A,?,A)_log",0.7585991090984187,0.8485151459295683,0.43284606508512363,0.10559316356953002,0.12133074481628357,0.05835174973684228
NCR,NCR,Marikina City,seasonal_index,1.7440756496889913,1.3492897871843077,1.2890180126136783,0.23972097075081034,0.17875755296069193,0.1698637518101571
NCR,NCR,Muntinlupa City,"ETS(A,?,A)_log",1.0467167733193552,0.897742867038162,0.5316349368426735,0.22207498944369372,0.20100480892374203,0.10851088150461445
NCR,NCR,Navotas City,seasonal_index,1.0917950132759484,0.8160265456753313,0.9637215607390761,0.2489404624669632,0.18718930921008747,0.2140017293960932
NCR,NCR,Paranaque City,"ETS(A,?,A)_log",0.8108508086931643,0.8432876908923896,0.6472511344669655,0.09735808417588084,0.1018364556491481,0.07636401712624168
NCR,NCR,Pasay City,"ETS(A,?,A)_log",0.9327450131886296,0.9567181398448701,0.6531777777944335,0.13307177381454702,0.13804844885417614,0.09113790330775769
NCR,NCR,Pasig City,"ETS(A,?,A)_log",0.586254932363843,0.4975078160319252,0.24617579620821897,0.11043642143830419,0.09844562931794675,0.04804220458888991
NCR,NCR,Quezon City,"ETS(A,?,A)_log",0.8430699959821061,0.7569537396368353,0.5374989552331754,0.07394479612833015,0.067640441646708,0.04654902888550955
NCR,NCR,San Juan City,seasonal_index,0.9248867600767757,0.759023591897304,0.9131331340995028,0.18221221237455984,0.16193088338843245,0.18619898442575356
