Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Caloocan City,2024,1,474923.2739490751,True,,
NCR,NCR,Caloocan City,2024,2,551737.4846965546,True,,
NCR,NCR,Caloocan City,2024,3,465683.4779251695,True,,
NCR,NCR,Caloocan City,2024,4,416756.7812246983,True,,
NCR,NCR,Caloocan City,2024,5,472811.0003322295,True,,
NCR,NCR,Caloocan City,2024,6,410530.00646707957,True,,
NCR,NCR,Caloocan City,2024,7,455193.4360122772,True,,
NCR,NCR,Caloocan City,2024,8,569950.1130745087,True,,
NCR,NCR,Caloocan City,2024,9,457672.67004076386,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,10,439909.7803296442,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,11,460506.89361580834,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Caloocan City,2024,12,444232.58233219205,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,City of Manila,2024,1,1002957.3981830915,True,,
NCR,NCR,City of Manila,2024,2,736645.5759840728,True,,
NCR,NCR,City of Manila,2024,3,856992.267464766,True,,
NCR,NCR,City of Manila,2024,4,870921.9814411859,True,,
NCR,NCR,City of Manila,2024,5,899889.909164394,True,,
NCR,NCR,City of Manila,2024,6,740901.6553548819,True,,
NCR,NCR,City of Manila,2024,7,901160.3358624444,True,,
NCR,NCR,City of Manila,2024,8,826933.8318520435,True,,
NCR,NCR,City of Manila,2024,9,757060.9624495188,False,time_series,seasonal_index
NCR,NCR,City of Manila,2024,10,853962.1986174496,False,time_series,seasonal_index
NCR,NCR,City of Manila,2024,11,930185.4260802427,False,time_series,seasonal_index
NCR,NCR,City of Manila,2024,12,881620.4575459088,False,time_series,seasonal_index
NCR,NCR,Las Pinas City,2024,1,220833.22039751778,True,,
NCR,NCR,Las Pinas City,2024,2,200043.78109830493,True,,
NCR,NCR,Las Pinas City,2024,3,198534.7211950086,True,,
NCR,NCR,Las Pinas City,2024,4,206852.05264655282,True,,
NCR,NCR,Las Pinas City,2024,5,218328.49210441773,True,,
NCR,NCR,Las Pinas City,2024,6,183353.69524773717,True,,
NCR,NCR,Las Pinas City,2024,7,213520.30832748458,True,,
NCR,NCR,Las Pinas City,2024,8,181256.37423523064,True,,
NCR,NCR,Las Pinas City,2024,9,227335.16866016865,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Las Pinas City,2024,10,217626.33556175823,False,time_series,"ETS(A,?,A)_log"
