Region,Region_slug,Province,Area_display,Area_slug,Area_level,Year,Month,Employed,Weight
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Mariveles,mariveles,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Dinalupihan,dinalupihan,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1794.4348
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2239.0017
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1548.1433
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,1737.0012
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,Bataan,Balanga,balanga,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2762.9927
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2239.0017
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2216.5044
Region III (Central Luzon),region-iii-central-luzon,Bataan,Limay,limay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1990.7089
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1948.8928
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2408.3885
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,1737.0012
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,,2408.3885
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2121.709
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,2340.1864
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2075.2963
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,3249.3533
Region III (Central Luzon),region-iii-central-luzon,Bataan,Abucay,abucay,city/municipality,2023,12,1.0,1656.985
Region III (Central Luzon),region-iii-central-luzon,,,,city/municipality,2023,12,0.0,2216.5044
