Region,Province,Area_display,Year,n_records,employed_rate_unweighted,employed_rate_weighted,sum_weight
NCR,Abra,Bangued,2023,6.0,1.0,1.0,7574.8955
NCR,Aklan,Altavas,2023,1.0,1.0,1.0,414.6321
NCR,Aklan,Makato,2023,1.0,1.0,1.0,571.0938
NCR,Antique,San Jose,2023,1.0,1.0,1.0,670.5601
NCR,Batangas,San Juan,2023,2.0,1.0,1.0,1591.0072
NCR,Batangas,Taal,2023,1.0,1.0,1.0,2125.194
NCR,Benguet,Baguio,2023,1.0,1.0,1.0,1616.7629
NCR,Bulacan,Angat,2023,2.0,1.0,1.0,3696.8546
NCR,Bulacan,Bocaue,2023,2.0,1.0,1.0,10904.5176
NCR,Bulacan,Guiguinto,2023,1.0,1.0,1.0,744.5297
NCR,Bulacan,Malolos,2023,1.0,1.0,1.0,554.0711
NCR,Bulacan,Marilao,2023,3.0,1.0,1.0,3871.7461999999996
NCR,Bulacan,Obando,2023,2.0,1.0,1.0,1255.7287999999999
NCR,Bulacan,Pulilan,2023,1.0,1.0,1.0,2013.3738
NCR,Bulacan,San Jose Del Monte,2023,4.0,1.0,1.0,18535.8969
NCR,Bulacan,Santa Maria,2023,5.0,1.0,1.0,14096.232099999997
NCR,Cavite,Bacoor,2023,3.0,1.0,1.0,9726.1128
NCR,Cavite,Carmona,2023,2.0,1.0,1.0,2810.8573
NCR,Cavite,Dasmarinas,2023,3.0,1.0,1.0,7394.1959
NCR,Cavite,General Trias,2023,2.0,1.0,1.0,2909.5152
NCR,Cavite,Imus,2023,5.0,1.0,1.0,6625.1336
NCR,Cavite,Naic,2023,1.0,1.0,1.0,577.5461
NCR,Cavite,Silang,2023,2.0,1.0,1.0,2017.2388
NCR,Cavite,Tanza,2023,1.0,1.0,1.0,6907.7258
NCR,Cavite,Trece Martires,2023,1.0,1.0,1.0,5892.6886
NCR,City Of Manila,Binondo,2023,14.0,1.0,1.0,27076.3515
NCR,City Of Manila,Ermita,2023,15.0,1.0,1.0,35316.780099999996
NCR,City Of Manila,Intramuros,2023,3.0,1.0,1.0,8786.8413
NCR,City Of Manila,Malate,2023,25.0,1.0,1.0,92023.1089
NCR,City Of Manila,Paco,2023,13.0,1.0,1.0,48333.5339
NCR,City Of Manila,Pandacan,2023,16.0,1.0,1.0,62713.717399999994
NCR,City Of Manila,Port Area,2023,5.0,1.0,1.0,10053.577499999998
NCR,City Of Manila,Quiapo,2023,7.0,1.0,1.0,18958.722500000003
NCR,City Of Manila,Sampaloc,2023,8.0,1.0,1.0,23832.6938
NCR,City Of Manila,San Miguel,2023,14.0,1.0,1.0,52259.20120000001
NCR,City Of Manila,Santa Cruz,2023,21.0,1.0,1.0,50437.19300000001
NCR,City Of Manila,Tondo I/Ii,2023,78.0,0.9871794871794872,0.9827887795229537,279376.3177
NCR,Laguna,Binan,2023,1.0,1.0,1.0,2456.3046
NCR,Laguna,Calamba,2023,3.0,1.0,1.0,5559.3279
NCR,Laguna,San Pedro,2023,2.0,1.0,1.0,11018.965400000001
NCR,Laguna,Santa Rosa,2023,1.0,1.0,1.0,1612.3931
NCR,NCR,Caloocan,2023,113.0,0.9911504424778761,0.9852906964041074,397618.2191
NCR,NCR,Las Pinas,2023,117.0,1.0,1.0,204219.6699
NCR,NCR,Makati,2023,233.0,1.0,1.0,560459.228
NCR,NCR,Malabon,2023,115.0,1.0,1.0,104230.3672
NCR,NCR,Mandaluyong,2023,167.0,1.0,1.0,263896.6444
NCR,NCR,Marikina,2023,101.0,1.0,1.0,136623.3382
NCR,NCR,Muntinlupa,2023,173.0,0.9884393063583815,0.9916385901072103,258239.61839999998
NCR,NCR,Navotas,2023,129.0,0.9922480620155039,0.9935226849554073,69693.95449999999
NCR,NCR,Paranaque,2023,149.0,0.9865771812080537,0.9866218284599976,287216.09589999996
NCR,NCR,Pasay City,2023,116.0,1.0,1.0,244180.6642
NCR,NCR,Pasig,2023,202.0,1.0,1.0,438773.70320000005
NCR,NCR,Pateros,2023,28.0,1.0,1.0,16078.671800000002
NCR,NCR,Quezon City,2023,334.0,1.0,1.0,1677253.2607
NCR,NCR,San Juan,2023,63.0,1.0,1.0,67196.7122
NCR,NCR,Taguig,2023,196.0,1.0,1.0,445416.03800000006
NCR,NCR,Valenzuela,2023,172.0,1.0,1.0,277288.4183
NCR,Pampanga,Angeles,2023,2.0,1.0,1.0,10862.484100000001
NCR,Pampanga,San Fernando,2023,1.0,1.0,1.0,1535.8154
NCR,Pangasinan,Anda,2023,1.0,1.0,1.0,7118.3339
NCR,Rizal,Antipolo,2023,4.0,1.0,1.0,7074.2699999999995
NCR,Rizal,Cainta,2023,1.0,1.0,1.0,1602.0386
NCR,Rizal,San Mateo,2023,2.0,1.0,1.0,2065.1711
NCR,Rizal,Taytay,2023,7.0,1.0,1.0,23857.901399999995
NCR,Sorsogon,Sorsogon,2023,1.0,1.0,1.0,1982.5316
NCR,Tarlac,Capas,2023,1.0,1.0,1.0,954.8049
NCR,,,2023,3358.0,0.0,0.0,7968920.898899999
Region III (Central Luzon),Aurora,Baler,2023,3.0,1.0,1.0,2021.1924999999999
Region III (Central Luzon),Aurora,Casiguran,2023,65.0,1.0,1.0,41955.19599999999
Region III (Central Luzon),Aurora,Dilasag,2023,20.0,1.0,1.0,12155.689100000001
Region III (Central Luzon),Aurora,Dingalan,2023,27.0,1.0,1.0,16029.527199999999
Region III (Central Luzon),Aurora,Dipaculao,2023,1.0,1.0,1.0,482.6843
Region III (Central Luzon),Aurora,Maria Aurora,2023,22.0,1.0,1.0,14358.191899999998
Region III (Central Luzon),Aurora,San Luis,2023,8.0,1.0,1.0,5344.7607
Region III (Central Luzon),Bataan,Abucay,2023,33.0,1.0,1.0,69613.8017
Region III (Central Luzon),Bataan,Balanga,2023,18.0,1.0,1.0,35574.4519
Region III (Central Luzon),Bataan,Dinalupihan,2023,19.0,1.0,1.0,36611.56169999999
Region III (Central Luzon),Bataan,Hermosa,2023,4.0,1.0,1.0,8179.2662
Region III (Central Luzon),Bataan,Limay,2023,39.0,0.9230769230769231,0.9281175881227814,75965.6995
Region III (Central Luzon),Bataan,Mariveles,2023,35.0,0.9714285714285714,0.9673238198980448,71447.69959999999
Region III (Central Luzon),Bataan,Morong,2023,1.0,1.0,1.0,1737.0651
Region III (Central Luzon),Bataan,Orion,2023,4.0,1.0,1.0,8220.8029
Region III (Central Luzon),Bataan,Pilar,2023,32.0,1.0,1.0,63269.486699999994
Region III (Central Luzon),Benguet,Baguio,2023,1.0,1.0,1.0,3538.7811
Region III (Central Luzon),Bulacan,Balagtas,2023,1.0,1.0,1.0,8787.2871
Region III (Central Luzon),Bulacan,Baliuag,2023,1.0,1.0,1.0,9748.9304
Region III (Central Luzon),Bulacan,Bocaue,2023,1.0,1.0,1.0,10007.554
Region III (Central Luzon),Bulacan,Bulacan,2023,24.0,1.0,1.0,238806.5501
Region III (Central Luzon),Bulacan,Guiguinto,2023,37.0,1.0,1.0,372896.56529999996
Region III (Central Luzon),Bulacan,Malolos,2023,2.0,1.0,1.0,16871.030600000002
Region III (Central Luzon),Bulacan,Marilao,2023,6.0,1.0,1.0,58382.761
Region III (Central Luzon),Bulacan,Meycauayan,2023,35.0,1.0,1.0,341144.1971
Region III (Central Luzon),Bulacan,San Jose Del Monte,2023,21.0,1.0,1.0,200819.73119999998
Region III (Central Luzon),Bulacan,Santa Maria,2023,33.0,1.0,1.0,329727.1315
Region III (Central Luzon),Cavite,Cavite,2023,1.0,1.0,1.0,2043.0805
Region III (Central Luzon),Cavite,Kawit,2023,1.0,1.0,1.0,8683.9038
Region III (Central Luzon),City Of Manila,Ermita,2023,1.0,1.0,1.0,10007.554
Region III (Central Luzon),City Of Manila,Intramuros,2023,2.0,1.0,1.0,3157.5510999999997
Region III (Central Luzon),City Of Manila,Malate,2023,2.0,1.0,1.0,11834.349600000001
Region III (Central Luzon),City Of Manila,Paco,2023,1.0,1.0,1.0,8861.4558
Region III (Central Luzon),City Of Manila,Port Area,2023,2.0,1.0,1.0,16255.839100000001
Region III (Central Luzon),City Of Manila,Sampaloc,2023,4.0,1.0,1.0,26651.7129
Region III (Central Luzon),City Of Manila,Santa Ana,2023,1.0,1.0,1.0,2330.0392
Region III (Central Luzon),City Of Manila,Santa Cruz,2023,6.0,1.0,1.0,47154.0067
Region III (Central Luzon),Ilocos Norte,Laoag,2023,1.0,1.0,1.0,1737.0651
Region III (Central Luzon),Laguna,Cabuyao,2023,1.0,1.0,1.0,2204.4918
Region III (Central Luzon),NCR,Makati,2023,5.0,1.0,1.0,46957.22839999999
Region III (Central Luzon),NCR,Mandaluyong,2023,1.0,1.0,1.0,8603.4225
Region III (Central Luzon),NCR,Navotas,2023,1.0,1.0,1.0,10691.821
Region III (Central Luzon),NCR,Paranaque,2023,1.0,1.0,1.0,3466.0172
Region III (Central Luzon),NCR,Pasay City,2023,2.0,1.0,1.0,6474.4250999999995
