Region,Area_slug,Area_display,Year,total_rain_mm,wet_days,heavy_rain_days,tmax_avg,tmin_avg,tavg_avg,rh_avg,wind_speed_avg
NCR,manila,Manila,2018,2507.4,122,14,31.68383561643836,25.446027397260274,28.564931506849316,72.92876712328767,2.263013698630137
NCR,manila,Manila,2019,1887.0,100,8,32.02082191780822,25.47287671232877,28.746849315068495,70.73698630136987,2.654794520547945
NCR,manila,Manila,2020,1453.1,95,5,32.29294117647059,25.539411764705882,28.916176470588237,70.45882352941176,2.476470588235294
NCR,manila,Manila,2021,1999.5,122,9,31.993972602739724,25.0986301369863,28.546301369863013,71.77808219178083,2.5835616438356164
NCR,manila,Manila,2022,2057.4,128,9,32.14931506849315,25.365753424657534,28.757534246575343,71.18904109589042,2.4794520547945207
NCR,manila,Manila,2023,2659.8,118,16,32.092434210526314,25.445723684210527,28.769078947368417,71.84539473684211,2.7434210526315788
NCR,pasay,Pasay,2018,1832.5,96,8,32.311581920903954,25.333333333333332,28.82245762711864,78.01694915254237,3.0395480225988702
NCR,pasay,Pasay,2019,1466.8,94,5,32.56814404432133,25.765650969529084,29.166897506925206,71.52631578947368,3.1634349030470914
NCR,pasay,Pasay,2020,1209.5,83,3,32.9244966442953,25.389261744966444,29.15687919463087,72.0738255033557,2.721476510067114
NCR,pasay,Pasay,2021,1449.5,110,5,32.69397260273973,25.55095890410959,29.12246575342466,73.54246575342465,2.695890410958904
NCR,pasay,Pasay,2022,1829.0,121,4,32.66203966005666,25.588101983002833,29.125070821529743,74.0056657223796,2.634560906515581
NCR,pasay,Pasay,2023,1948.2,137,6,32.59561643835616,25.696438356164386,29.146027397260273,75.1041095890411,2.8575342465753426
NCR,quezon,Quezon,2018,3571.4,142,21,31.776164383561643,24.08219178082192,27.92917808219178,73.24931506849315,1.2904109589041095
NCR,quezon,Quezon,2019,2372.4,130,12,32.21013698630137,24.312602739726028,28.261369863013698,71.71780821917808,1.3123287671232877
NCR,quezon,Quezon,2020,2477.2,141,10,32.26311475409836,24.425409836065576,28.34426229508197,73.61475409836065,1.139344262295082
NCR,quezon,Quezon,2021,2334.9,130,9,31.74736842105263,24.48365650969529,28.115512465373964,75.14958448753463,1.1966759002770082
NCR,quezon,Quezon,2022,2641.7,148,15,31.92849315068493,24.50027397260274,28.214383561643835,75.38082191780822,1.0794520547945206
NCR,quezon,Quezon,2023,3187.2,146,23,31.826301369863014,24.481643835616435,28.153972602739728,75.37534246575342,1.2027397260273973
Region III (Central Luzon),baler aurora,"Baler, Aurora",2018,2926.9,170,12,30.51095890410959,23.377808219178082,26.94438356164384,85.76438356164384,1.9479452054794522
Region III (Central Luzon),baler aurora,"Baler, Aurora",2019,2521.2,157,12,30.872328767123285,23.50109589041096,27.186712328767122,86.2904109589041,1.915068493150685
Region III (Central Luzon),baler aurora,"Baler, Aurora",2020,4518.9,199,29,30.439617486338797,23.511475409836066,26.975546448087428,87.32513661202186,1.7322404371584699
Region III (Central Luzon),baler aurora,"Baler, Aurora",2021,2676.9,152,13,30.659504132231405,23.496143250688707,27.077823691460054,84.84848484848484,2.068870523415978
Region III (Central Luzon),baler aurora,"Baler, Aurora",2022,3676.8,195,19,30.23013698630137,23.43917808219178,26.834657534246574,86.75342465753425,1.978082191780822
Region III (Central Luzon),baler aurora,"Baler, Aurora",2023,2645.8,157,10,31.066438356164383,23.701095890410958,27.383767123287672,82.45205479452055,1.8054794520547945
Region III (Central Luzon),cabanatuan nueva ecija,"Cabanatuan, Nueva Ecija",2018,2120.5,98,10,33.0545205479452,23.72027397260274,28.38739726027397,77.97808219178083,1.3917808219178083
