Region,Area_display,Area_slug,Date,RAINFALL_mm,TMAX_C,TMIN_C,TAVG,RH_pct,WIND_SPEED,WIND_DIRECTION,wet_day_1mm,heavy_rain_50mm
Region IV-A (Calabarzon),"Tanay, Rizal",tanay rizal,2023-12-31,0.0,26.3,20.5,23.4,87.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-14,0.0,34.0,24.3,29.15,66.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-04,0.0,34.5,23.5,29.0,67.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-05,0.0,35.5,23.5,29.5,70.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-06,2.9,34.8,24.0,29.4,76.0,2.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-07,0.0,34.5,24.9,29.7,73.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-08,0.0,33.2,23.9,28.55,72.0,2.0,110.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-09,0.0,35.2,24.4,29.8,72.0,2.0,110.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-10,0.0,35.0,24.0,29.5,64.0,3.0,110.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-11,0.0,35.0,23.5,29.25,68.0,2.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-12,0.0,35.0,24.6,29.8,66.0,2.0,40.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-13,0.0,34.2,22.1,28.15,67.0,3.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-15,0.1,34.3,23.8,29.05,66.0,2.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-27,0.0,32.8,25.0,28.9,68.0,4.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-16,0.0,33.3,24.6,28.95,70.0,4.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-17,0.0,33.1,23.8,28.450000000000003,62.0,4.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-18,0.2,32.5,24.5,28.5,70.0,4.0,40.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-19,0.0,32.5,24.5,28.5,80.0,4.0,40.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-20,0.0,33.5,22.5,28.0,68.0,4.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-21,0.0,32.0,25.0,28.5,69.0,5.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-22,0.0,31.5,24.1,27.8,58.0,5.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-23,0.0,31.2,22.7,26.95,63.0,3.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-24,0.0,33.4,25.3,29.35,60.0,3.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-25,0.0,33.1,23.8,28.450000000000003,65.0,3.0,20.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-03,0.6,32.6,24.6,28.6,68.0,4.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-12-02,0.0,33.1,23.6,28.35,71.0,3.0,90.0,0,0
