Region,Area_slug,Area_display,Year,Month,total_rain_mm,wet_days,heavy_rain_days,tmax_avg,tmin_avg,tavg_avg,rh_avg,wind_speed_avg
NCR,manila,Manila,2018,1,18.9,4,0,30.374193548387098,24.358064516129033,27.366129032258065,71.41935483870968,2.193548387096774
NCR,manila,Manila,2018,2,1.5,1,0,31.082142857142856,24.817857142857143,27.95,66.92857142857143,2.607142857142857
NCR,manila,Manila,2018,3,30.299999999999997,4,0,31.716129032258067,25.1,28.40806451612903,65.03225806451613,2.4193548387096775
NCR,manila,Manila,2018,4,8.1,2,0,33.24666666666666,26.613333333333333,29.93,62.56666666666667,1.8666666666666667
NCR,manila,Manila,2018,5,59.9,4,0,34.79032258064516,27.193548387096776,30.991935483870968,65.35483870967742,1.5161290322580645
NCR,manila,Manila,2018,6,616.5,18,4,31.493333333333332,25.383333333333333,28.438333333333333,84.93333333333334,2.6333333333333333
NCR,manila,Manila,2018,7,626.1999999999999,23,4,30.22258064516129,25.116129032258065,27.669354838709676,88.19354838709677,2.161290322580645
NCR,manila,Manila,2018,8,453.9,20,3,30.729032258064517,25.361290322580647,28.04516129032258,82.70967741935483,2.3870967741935485
NCR,manila,Manila,2018,9,365.0,19,2,31.58,25.55,28.564999999999998,77.86666666666666,2.033333333333333
NCR,manila,Manila,2018,10,181.8,12,1,32.51935483870968,25.761290322580646,29.14032258064516,69.80645161290323,2.5161290322580645
NCR,manila,Manila,2018,11,22.9,5,0,32.06666666666667,25.529999999999998,28.798333333333336,65.8,2.566666666666667
NCR,manila,Manila,2018,12,122.4,10,0,30.38064516129032,24.548387096774192,27.46451612903226,73.93548387096774,2.2903225806451615
NCR,manila,Manila,2019,1,2.6,1,0,30.35483870967742,23.796774193548387,27.075806451612905,65.03225806451613,2.6129032258064515
NCR,manila,Manila,2019,2,4.5,1,0,30.88214285714286,23.532142857142855,27.207142857142856,61.892857142857146,2.0357142857142856
NCR,manila,Manila,2019,3,3.1,1,0,32.541935483870965,25.116129032258065,28.82903225806452,59.41935483870968,2.0
NCR,manila,Manila,2019,4,1.4,1,0,34.663333333333334,26.816666666666666,30.740000000000002,60.0,2.1666666666666665
NCR,manila,Manila,2019,5,150.29999999999998,9,0,33.5,26.783870967741933,30.141935483870967,74.3225806451613,2.0
NCR,manila,Manila,2019,6,279.8,15,1,33.92666666666666,26.65666666666667,30.291666666666668,72.5,2.533333333333333
NCR,manila,Manila,2019,7,272.0,16,1,31.774193548387096,25.799999999999997,28.787096774193547,76.74193548387096,3.064516129032258
NCR,manila,Manila,2019,8,584.0999999999999,18,3,30.429032258064513,25.519354838709678,27.9741935483871,83.38709677419355,4.225806451612903
