Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,2.9444389791664403,3.119640117362942,-0.17520113819650174,WX_heavy_rain_days,ETS
ambulong batangas,2023,0.0,1.9840764721485464,-1.9840764721485464,WX_heavy_rain_days,ETS
baler aurora,2023,2.302585092994046,3.0690318826635306,-0.7664467896694847,WX_heavy_rain_days,ETS
casiguran aurora,2023,2.4849066497880004,3.313690255823849,-0.8287836060358487,WX_heavy_rain_days,ETS
cavite,2023,1.9459101490553132,1.3388599840825712,0.607050164972742,WX_heavy_rain_days,ETS
clark pampanga,2023,2.3978952727983707,1.985792868778501,0.41210240401986975,WX_heavy_rain_days,ETS
iba zambales,2023,3.367295829986474,2.420099069751049,0.9471967602354252,WX_heavy_rain_days,ETS
infanta quezon,2023,2.8903717578961645,3.1720051305848944,-0.2816333726887299,WX_heavy_rain_days,ETS
manila,2023,2.772588722239781,1.914711975520355,0.8578767467194262,WX_heavy_rain_days,ETS
olongapo zambales,2023,3.4657359027997265,2.524086665632626,0.9416492371671006,WX_heavy_rain_days,ETS
pasay,2023,1.791759469228055,1.1407593007719834,0.6510001684560716,WX_heavy_rain_days,ETS
quezon,2023,3.1354942159291497,3.2175304349758895,-0.08203621904673986,WX_heavy_rain_days,ETS
tanay rizal,2023,2.4849066497880004,2.4482246298920387,0.03668201989596165,WX_heavy_rain_days,ETS
