Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,4.433877992493147,4.4609913137948345,-0.02711332130168742,WX_rh_avg,ETS
ambulong batangas,2023,4.375636397516356,4.397400045491532,-0.021763647975175715,WX_rh_avg,ETS
baler aurora,2023,4.412216970399379,4.45840371605113,-0.04618674565175063,WX_rh_avg,ETS
casiguran aurora,2023,4.437027090136549,4.438864975018735,-0.0018378848821853921,WX_rh_avg,ETS
cavite,2023,4.31869286698141,4.330453651770948,-0.011760784789538015,WX_rh_avg,ETS
clark pampanga,2023,4.282281979567284,4.216358929643278,0.065923049924006,WX_rh_avg,ETS
iba zambales,2023,4.372218417009827,4.395493208710431,-0.023274791700604425,WX_rh_avg,ETS
infanta quezon,2023,4.436962260314809,4.459206532454106,-0.022244272139296584,WX_rh_avg,ETS
manila,2023,4.274516514950189,4.258376198601579,0.01614031634861046,WX_rh_avg,ETS
olongapo zambales,2023,4.309824116799945,4.293933500849,0.015890615950945097,WX_rh_avg,ETS
pasay,2023,4.318875278831389,4.310420304257177,0.00845497457421196,WX_rh_avg,ETS
quezon,2023,4.32248019852961,4.332730215610347,-0.010250017080736917,WX_rh_avg,ETS
tanay rizal,2023,4.4843054837943,4.4803307871240925,0.003974696670207223,WX_rh_avg,ETS
