Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,3.333329122180392,3.322867737396619,0.01046138478377312,WX_tavg_avg,ETS
ambulong batangas,2023,3.3310149575367496,3.3288553715543623,0.002159585982387302,WX_tavg_avg,ETS
baler aurora,2023,3.309950397075732,3.292317103243352,0.017633293832380215,WX_tavg_avg,ETS
casiguran aurora,2023,3.3059981546064563,3.277196162838886,0.028801991767570367,WX_tavg_avg,ETS
cavite,2023,3.3779334284171463,3.3776266189570423,0.0003068094601039739,WX_tavg_avg,ETS
clark pampanga,2023,3.356047160198707,3.358485843693907,-0.0024386834952001557,WX_tavg_avg,ETS
iba zambales,2023,3.3246910316588925,3.3252923821611082,-0.0006013505022157695,WX_tavg_avg,ETS
infanta quezon,2023,3.3308777987801728,3.323969521044847,0.006908277735325541,WX_tavg_avg,ETS
manila,2023,3.359301162708561,3.359038959955452,0.0002622027531091753,WX_tavg_avg,ETS
olongapo zambales,2023,3.3424502770286706,3.337189839651913,0.005260437376757743,WX_tavg_avg,ETS
pasay,2023,3.372318622111759,3.3758070612470075,-0.0034884391352485444,WX_tavg_avg,ETS
quezon,2023,3.3376884672838867,3.3428927417762346,-0.005204274492347949,WX_tavg_avg,ETS
tanay rizal,2023,3.15782016923597,3.1650638728603266,-0.007243703624356446,WX_tavg_avg,ETS
