Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,31.0972602739726,WX_tmax_avg,history,ETS,,,,
alabat quezon,2019,31.5586301369863,WX_tmax_avg,history,ETS,,,,
alabat quezon,2020,31.16994535519126,WX_tmax_avg,history,ETS,,,,
alabat quezon,2021,30.89369863013699,WX_tmax_avg,history,ETS,,,,
alabat quezon,2022,31.02849315068493,WX_tmax_avg,history,ETS,,,,
alabat quezon,2023,31.318082191780825,WX_tmax_avg,history,ETS,,,,
alabat quezon,2024,31.101113361896136,WX_tmax_avg,forecast,ETS,31.08429954676092,31.11792717703135,31.075367207470336,31.126859516321936
alabat quezon,2025,31.079477649859967,WX_tmax_avg,forecast,ETS,31.062663834724752,31.096291464995183,31.053731495434167,31.105223804285767
alabat quezon,2026,31.05785698886168,WX_tmax_avg,forecast,ETS,31.041043173726464,31.074670803996895,31.03211083443588,31.08360314328748
alabat quezon,2027,31.036251368430907,WX_tmax_avg,forecast,ETS,31.019437553295692,31.053065183566122,31.010505214005107,31.061997522856707
alabat quezon,2028,31.014660778104577,WX_tmax_avg,forecast,ETS,30.997846962969362,31.031474593239793,30.988914623678777,31.040406932530377
alabat quezon,2029,30.993085207426883,WX_tmax_avg,forecast,ETS,30.976271392291668,31.0098990225621,30.967339053001083,31.018831361852683
ambulong batangas,2018,32.113150684931504,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2019,32.46109589041096,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2020,32.611647727272725,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2021,31.85232876712329,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2022,31.74493150684932,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2023,31.757534246575343,WX_tmax_avg,history,ETS,,,,
ambulong batangas,2024,31.622701767255506,WX_tmax_avg,forecast,ETS,31.622494650767944,31.62290888374307,31.62238462013393,31.623018914377084
ambulong batangas,2025,31.490915671219227,WX_tmax_avg,forecast,ETS,31.490708554731665,31.49112278770679,31.49059852409765,31.491232818340805
ambulong batangas,2026,31.35967878743041,WX_tmax_avg,forecast,ETS,31.35947167094285,31.359885903917974,31.359361640308833,31.35999593455199
ambulong batangas,2027,31.228988827073305,WX_tmax_avg,forecast,ETS,31.228781710585743,31.229195943560867,31.228671679951727,31.229305974194883
ambulong batangas,2028,31.098843510870672,WX_tmax_avg,forecast,ETS,31.09863639438311,31.099050627358235,31.098526363749095,31.09916065799225
ambulong batangas,2029,30.969240569044093,WX_tmax_avg,forecast,ETS,30.96903345255653,30.969447685531655,30.968923421922515,30.96955771616567
baler aurora,2018,30.51095890410959,WX_tmax_avg,history,ETS,,,,
baler aurora,2019,30.872328767123285,WX_tmax_avg,history,ETS,,,,
baler aurora,2020,30.4396174863388,WX_tmax_avg,history,ETS,,,,
baler aurora,2021,30.659504132231405,WX_tmax_avg,history,ETS,,,,
baler aurora,2022,30.23013698630137,WX_tmax_avg,history,ETS,,,,
baler aurora,2023,31.066438356164383,WX_tmax_avg,history,ETS,,,,
baler aurora,2024,30.733954243084483,WX_tmax_avg,forecast,ETS,30.702393883084653,30.765514603084313,30.685627441834743,30.782281044334223
baler aurora,2025,30.76412784432583,WX_tmax_avg,forecast,ETS,30.732567484326,30.79568820432566,30.71580104307609,30.81245464557557
baler aurora,2026,30.794331069032,WX_tmax_avg,forecast,ETS,30.76277070903217,30.82589142903183,30.74600426778226,30.84265787028174
baler aurora,2027,30.824563946286336,WX_tmax_avg,forecast,ETS,30.793003586286506,30.856124306286166,30.776237145036596,30.872890747536076
baler aurora,2028,30.854826505200734,WX_tmax_avg,forecast,ETS,30.823266145200904,30.886386865200564,30.806499703950994,30.903153306450474
baler aurora,2029,30.885118774915714,WX_tmax_avg,forecast,ETS,30.853558414915884,30.916679134915544,30.836791973665974,30.933445576165454
