Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,3.444195636546042,3.431059843471654,0.013135793074388058,WX_tmax_avg,ETS
ambulong batangas,2023,3.4581299962924565,3.457968186536549,0.000161809755907516,WX_tmax_avg,ETS
baler aurora,2023,3.4361280839459285,3.411471552696062,0.024656531249866553,WX_tmax_avg,ETS
casiguran aurora,2023,3.4531137695578535,3.4259283179217013,0.02718545163615227,WX_tmax_avg,ETS
cavite,2023,3.47373464928084,3.473100189215448,0.0006344600653922505,WX_tmax_avg,ETS
clark pampanga,2023,3.487835781950893,3.4966806590467563,-0.008844877095863346,WX_tmax_avg,ETS
iba zambales,2023,3.4390736719897306,3.3993421875564005,0.03973148443333008,WX_tmax_avg,ETS
infanta quezon,2023,3.441830865264659,3.432320302112339,0.009510563152320017,WX_tmax_avg,ETS
manila,2023,3.4686203079795583,3.475095060446354,-0.006474752466795852,WX_tmax_avg,ETS
olongapo zambales,2023,3.4692400301406887,3.4660866837484767,0.0031533463922119864,WX_tmax_avg,ETS
pasay,2023,3.484177814250323,3.492903576022988,-0.008725761772665042,WX_tmax_avg,ETS
quezon,2023,3.460293035040683,3.4637708986377196,-0.0034778635970367233,WX_tmax_avg,ETS
tanay rizal,2023,3.266726772601724,3.2673718751940033,-0.0006451025922791231,WX_tmax_avg,ETS
