Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,3.2086206804408075,3.2016435531501983,0.006977127290609175,WX_tmin_avg,ETS
ambulong batangas,2023,3.1853558725518316,3.1806314612197446,0.0047244113320870085,WX_tmin_avg,ETS
baler aurora,2023,3.1655212871737732,3.151981508055812,0.013539779117961448,WX_tmin_avg,ETS
casiguran aurora,2023,3.1334432755937125,3.0876023869829825,0.04584088861072999,WX_tmin_avg,ETS
cavite,2023,3.2719724238311008,3.265764689327146,0.006207734503954843,WX_tmin_avg,ETS
clark pampanga,2023,3.2042154602965143,3.198125057161004,0.006090403135510236,WX_tmin_avg,ETS
iba zambales,2023,3.195514654282533,3.1725192709716166,0.022995383310916218,WX_tmin_avg,ETS
infanta quezon,2023,3.206059802800324,3.202790833560749,0.0032689692395750924,WX_tmin_avg,ETS
manila,2023,3.2365477007529018,3.2277859618806426,0.008761738872259173,WX_tmin_avg,ETS
olongapo zambales,2023,3.197218327679063,3.189188312277737,0.008030015401325752,WX_tmin_avg,ETS
pasay,2023,3.246352396934082,3.243154553739358,0.003197843194723937,WX_tmin_avg,ETS
quezon,2023,3.1979236055373854,3.1993627864133343,-0.0014391808759488534,WX_tmin_avg,ETS
tanay rizal,2023,3.0355867672291734,3.042485906574366,-0.006899139345192484,WX_tmin_avg,ETS
