Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,3178.5,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2019,1845.4,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2020,4243.6,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2021,3794.1,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2022,3866.6,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2023,3923.8,WX_total_rain_mm,history,ETS,,,,
alabat quezon,2024,4605.569701114625,WX_total_rain_mm,forecast,ETS,4605.38178109015,4605.7576211391,4605.281948577149,4605.857453652101
alabat quezon,2025,5040.7834875228555,WX_total_rain_mm,forecast,ETS,5040.595567498381,5040.97140754733,5040.495734985379,5041.071240060332
alabat quezon,2026,5517.123790773063,WX_total_rain_mm,forecast,ETS,5516.935870748588,5517.311710797538,5516.836038235587,5517.411543310539
alabat quezon,2027,6038.476954635551,WX_total_rain_mm,forecast,ETS,6038.289034611076,6038.664874660026,6038.189202098075,6038.764707173027
alabat quezon,2028,6609.096571776456,WX_total_rain_mm,forecast,ETS,6608.908651751981,6609.2844918009305,6608.80881923898,6609.384324313932
alabat quezon,2029,7233.638187777698,WX_total_rain_mm,forecast,ETS,7233.450267753223,7233.826107802172,7233.3504352402215,7233.925940315174
ambulong batangas,2018,2119.22,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2019,1494.9,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2020,1877.1,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2021,1772.3,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2022,2218.5,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2023,1756.5,WX_total_rain_mm,history,ETS,,,,
ambulong batangas,2024,1892.7587521221851,WX_total_rain_mm,forecast,ETS,1892.572382489212,1892.9451217551582,1892.4733736216951,1893.044130622675
ambulong batangas,2025,1902.966018171507,WX_total_rain_mm,forecast,ETS,1902.7796485385338,1903.15238780448,1902.680639671017,1903.2513966719969
ambulong batangas,2026,1913.2283299471164,WX_total_rain_mm,forecast,ETS,1913.0419603141434,1913.4146995800895,1912.9429514466265,1913.5137084476064
ambulong batangas,2027,1923.5459842995126,WX_total_rain_mm,forecast,ETS,1923.3596146665395,1923.7323539324857,1923.2606057990226,1923.8313628000026
ambulong batangas,2028,1933.9192796800423,WX_total_rain_mm,forecast,ETS,1933.7329100470693,1934.1056493130154,1933.6339011795524,1934.2046581805323
ambulong batangas,2029,1944.3485161495469,WX_total_rain_mm,forecast,ETS,1944.1621465165738,1944.53488578252,1944.063137649057,1944.6338946500368
