Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,8.274815850986728,8.421628370107339,-0.14681251912061022,WX_total_rain_mm,ETS
ambulong batangas,2023,7.471078471705882,7.616679747466034,-0.14560127576015258,WX_total_rain_mm,ETS
baler aurora,2023,7.8807287560282795,8.221322657057296,-0.3405939010290169,WX_total_rain_mm,ETS
casiguran aurora,2023,7.9854843567338225,8.494579046100712,-0.50909468936689,WX_total_rain_mm,ETS
cavite,2023,7.5144727315436946,7.3375822903614285,0.17689044118226604,WX_total_rain_mm,ETS
clark pampanga,2023,7.655153874373998,7.623943509820126,0.03121036455387216,WX_total_rain_mm,ETS
iba zambales,2023,8.408672130938726,7.842178822515415,0.5664933084233104,WX_total_rain_mm,ETS
infanta quezon,2023,8.138477116600624,8.48244854394958,-0.343971427348956,WX_total_rain_mm,ETS
manila,2023,7.886006210979063,7.474900705343389,0.41110550563567383,WX_total_rain_mm,ETS
olongapo zambales,2023,8.31832753256155,7.7571389535959305,0.5611885789656199,WX_total_rain_mm,ETS
pasay,2023,7.5746611483368556,7.744075351687405,-0.16941420335054946,WX_total_rain_mm,ETS
quezon,2023,8.066898067390278,7.90956582536952,0.15733224202075835,WX_total_rain_mm,ETS
tanay rizal,2023,7.930350081226331,7.965306768205829,-0.0349566869794975,WX_total_rain_mm,ETS
