Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,178.0,WX_wet_days,history,ETS,,,,
alabat quezon,2019,138.0,WX_wet_days,history,ETS,,,,
alabat quezon,2020,203.0,WX_wet_days,history,ETS,,,,
alabat quezon,2021,190.0,WX_wet_days,history,ETS,,,,
alabat quezon,2022,222.0,WX_wet_days,history,ETS,,,,
alabat quezon,2023,203.0,WX_wet_days,history,ETS,,,,
alabat quezon,2024,228.7384595615743,WX_wet_days,forecast,ETS,228.5725070993857,228.90441202376292,228.484344853848,228.9925742693006
alabat quezon,2025,242.30900699218262,WX_wet_days,forecast,ETS,242.143054529994,242.47495945437123,242.05489228445632,242.56312169990892
alabat quezon,2026,256.68466501905635,WX_wet_days,forecast,ETS,256.51871255686774,256.85061748124497,256.43055031133,256.9387797267827
alabat quezon,2027,271.91319907505874,WX_wet_days,forecast,ETS,271.74724661287013,272.07915153724736,271.6590843673324,272.1673137827851
alabat quezon,2028,288.045208410652,WX_wet_days,forecast,ETS,287.87925594846337,288.2111608728406,287.79109370292565,288.2993231183783
alabat quezon,2029,305.13429421803465,WX_wet_days,forecast,ETS,304.96834175584604,305.30024668022327,304.8801795103083,305.388408925761
ambulong batangas,2018,126.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2019,98.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2020,128.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2021,133.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2022,146.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2023,138.0,WX_wet_days,history,ETS,,,,
ambulong batangas,2024,150.60456538630083,WX_wet_days,forecast,ETS,150.4993470965338,150.70978367606787,150.44344988009505,150.76568089250662
ambulong batangas,2025,158.0509538664946,WX_wet_days,forecast,ETS,157.94573557672757,158.15617215626165,157.88983836028882,158.2120693727004
ambulong batangas,2026,165.86551645386592,WX_wet_days,forecast,ETS,165.76029816409888,165.97073474363296,165.70440094766013,166.0266319600717
ambulong batangas,2027,174.0664568955813,WX_wet_days,forecast,ETS,173.96123860581426,174.17167518534833,173.9053413893755,174.22757240178709
ambulong batangas,2028,182.6728789923533,WX_wet_days,forecast,ETS,182.56766070258627,182.77809728212034,182.51176348614752,182.8339944985591
ambulong batangas,2029,191.70483110006955,WX_wet_days,forecast,ETS,191.59961281030252,191.8100493898366,191.54371559386377,191.86594660627534
baler aurora,2018,170.0,WX_wet_days,history,ETS,,,,
baler aurora,2019,157.0,WX_wet_days,history,ETS,,,,
baler aurora,2020,199.0,WX_wet_days,history,ETS,,,,
baler aurora,2021,152.0,WX_wet_days,history,ETS,,,,
baler aurora,2022,195.0,WX_wet_days,history,ETS,,,,
baler aurora,2023,157.0,WX_wet_days,history,ETS,,,,
baler aurora,2024,170.38371564465467,WX_wet_days,forecast,ETS,170.16251750518032,170.60491378412902,170.04500599358457,170.72242529572478
baler aurora,2025,170.3013297431568,WX_wet_days,forecast,ETS,170.08013160368245,170.52252788263115,169.9626200920867,170.6400393942269
baler aurora,2026,170.21898367784124,WX_wet_days,forecast,ETS,169.99778553836688,170.4401818173156,169.88027402677113,170.55769332891134
baler aurora,2027,170.136677429446,WX_wet_days,forecast,ETS,169.91547928997164,170.35787556892035,169.7979677783759,170.4753870805161
baler aurora,2028,170.05441097871832,WX_wet_days,forecast,ETS,169.83321283924397,170.27560911819268,169.71570132764822,170.39312062978843
baler aurora,2029,169.97218430641476,WX_wet_days,forecast,ETS,169.7509861669404,170.1933824458891,169.63347465534466,170.31089395748486
cabanatuan nueva ecija,2018,98.0,WX_wet_days,history,Hold,,,,
cabanatuan nueva ecija,2019,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2020,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2021,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2022,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2023,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2024,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2025,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2026,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2027,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2028,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
cabanatuan nueva ecija,2029,98.00000000000004,WX_wet_days,forecast,Hold,98.00000000000004,98.00000000000004,98.00000000000004,98.00000000000004
casiguran aurora,2018,156.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2019,152.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2020,177.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2021,153.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2022,204.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2023,164.0,WX_wet_days,history,ETS,,,,
casiguran aurora,2024,184.02838137533269,WX_wet_days,forecast,ETS,183.79446400061428,184.2622987500511,183.6701953952951,184.38656735537026
casiguran aurora,2025,189.2921236347127,WX_wet_days,forecast,ETS,189.0582062599943,189.5260410094311,188.93393765467513,189.65030961475028
casiguran aurora,2026,194.7064240980291,WX_wet_days,forecast,ETS,194.4725067233107,194.9403414727475,194.3482381179915,195.06461007806666
casiguran aurora,2027,200.27558916397206,WX_wet_days,forecast,ETS,200.04167178925366,200.50950653869046,199.91740318393448,200.63377514400963
casiguran aurora,2028,206.00404840665024,WX_wet_days,forecast,ETS,205.77013103193184,206.23796578136864,205.64586242661267,206.36223438668782
casiguran aurora,2029,211.89635809876168,WX_wet_days,forecast,ETS,211.66244072404328,212.13027547348008,211.5381721187241,212.25454407879926
cavite,2018,104.0,WX_wet_days,history,ETS,,,,
cavite,2019,88.0,WX_wet_days,history,ETS,,,,
cavite,2020,109.0,WX_wet_days,history,ETS,,,,
cavite,2021,95.0,WX_wet_days,history,ETS,,,,
cavite,2022,116.0,WX_wet_days,history,ETS,,,,
cavite,2023,110.0,WX_wet_days,history,ETS,,,,
cavite,2024,113.75087440675715,WX_wet_days,forecast,ETS,113.73537550762954,113.76637330588476,113.72714171746799,113.77460709604631
cavite,2025,116.95328992817483,WX_wet_days,forecast,ETS,116.93779102904722,116.96878882730243,116.92955723888566,116.97702261746399
cavite,2026,120.24586269212175,WX_wet_days,forecast,ETS,120.23036379299414,120.26136159124935,120.22213000283259,120.26959538141091
cavite,2027,123.63113088526559,WX_wet_days,forecast,ETS,123.61563198613798,123.6466297843932,123.60739819597643,123.65486357455475
cavite,2028,127.11170415155668,WX_wet_days,forecast,ETS,127.09620525242907,127.12720305068429,127.08797146226752,127.13543684084584
cavite,2029,130.6902656039564,WX_wet_days,forecast,ETS,130.67476670482878,130.705764503084,130.66653291466724,130.71399829324554
clark pampanga,2018,122.0,WX_wet_days,history,ETS,,,,
clark pampanga,2019,126.0,WX_wet_days,history,ETS,,,,
clark pampanga,2020,123.0,WX_wet_days,history,ETS,,,,
clark pampanga,2021,113.0,WX_wet_days,history,ETS,,,,
clark pampanga,2022,117.0,WX_wet_days,history,ETS,,,,
clark pampanga,2023,109.0,WX_wet_days,history,ETS,,,,
clark pampanga,2024,108.33021646211377,WX_wet_days,forecast,ETS,108.27993118709624,108.3805017371313,108.25321713474318,108.40721578948435
clark pampanga,2025,105.66915839990794,WX_wet_days,forecast,ETS,105.61887312489041,105.71944367492547,105.59215907253736,105.74615772727853
clark pampanga,2026,103.07346741848245,WX_wet_days,forecast,ETS,103.02318214346492,103.12375269349998,102.99646809111186,103.15046674585304
clark pampanga,2027,100.54153781997208,WX_wet_days,forecast,ETS,100.49125254495455,100.5918230949896,100.46453849260149,100.61853714734266
clark pampanga,2028,98.07180334938717,WX_wet_days,forecast,ETS,98.02151807436964,98.1220886244047,97.99480402201658,98.14880267675775
clark pampanga,2029,95.66273622572615,WX_wet_days,forecast,ETS,95.61245095070862,95.71302150074368,95.58573689835556,95.73973555309674
iba zambales,2018,126.0,WX_wet_days,history,ETS,,,,
iba zambales,2019,130.0,WX_wet_days,history,ETS,,,,
iba zambales,2020,114.0,WX_wet_days,history,ETS,,,,
iba zambales,2021,119.0,WX_wet_days,history,ETS,,,,
iba zambales,2022,122.0,WX_wet_days,history,ETS,,,,
iba zambales,2023,113.0,WX_wet_days,history,ETS,,,,
iba zambales,2024,112.45456605617008,WX_wet_days,forecast,ETS,112.41441990526359,112.49471220707657,112.39309226259452,112.51603984974564
iba zambales,2025,110.25274636700881,WX_wet_days,forecast,ETS,110.21260021610232,110.2928925179153,110.19127257343325,110.31422016058437
iba zambales,2026,108.09403751019157,WX_wet_days,forecast,ETS,108.05389135928507,108.13418366109806,108.03256371661601,108.15551130376713
iba zambales,2027,105.97759539122946,WX_wet_days,forecast,ETS,105.93744924032296,106.01774154213595,105.9161215976539,106.03906918480502
iba zambales,2028,103.90259244269802,WX_wet_days,forecast,ETS,103.86244629179153,103.94273859360452,103.84111864912246,103.96406623627358
iba zambales,2029,101.86821730064314,WX_wet_days,forecast,ETS,101.82807114973664,101.90836345154963,101.80674350706758,101.9296910942187
infanta quezon,2018,183.0,WX_wet_days,history,ETS,,,,
infanta quezon,2019,166.0,WX_wet_days,history,ETS,,,,
infanta quezon,2020,213.0,WX_wet_days,history,ETS,,,,
infanta quezon,2021,224.0,WX_wet_days,history,ETS,,,,
infanta quezon,2022,238.0,WX_wet_days,history,ETS,,,,
infanta quezon,2023,196.0,WX_wet_days,history,ETS,,,,
infanta quezon,2024,233.90163922539256,WX_wet_days,forecast,ETS,233.5396685475614,234.2636099032237,233.3473716249636,234.4559068258215
infanta quezon,2025,243.96500841897048,WX_wet_days,forecast,ETS,243.60303774113933,244.32697909680164,243.41074081854154,244.51927601939943
infanta quezon,2026,254.4613433662799,WX_wet_days,forecast,ETS,254.09937268844874,254.82331404411104,253.90707576585095,255.01561096670883
infanta quezon,2027,265.4092719582685,WX_wet_days,forecast,ETS,265.04730128043735,265.77124263609966,264.85500435783956,265.96353955869745
infanta quezon,2028,276.82822353107485,WX_wet_days,forecast,ETS,276.4662528532437,277.190194208906,276.2739559306459,277.3824911315038
infanta quezon,2029,288.7384633473555,WX_wet_days,forecast,ETS,288.37649266952434,289.10043402518664,288.18419574692655,289.29273094778443
manila,2018,122.0,WX_wet_days,history,ETS,,,,
manila,2019,100.0,WX_wet_days,history,ETS,,,,
manila,2020,95.0,WX_wet_days,history,ETS,,,,
manila,2021,122.0,WX_wet_days,history,ETS,,,,
manila,2022,128.0,WX_wet_days,history,ETS,,,,
manila,2023,118.0,WX_wet_days,history,ETS,,,,
manila,2024,117.21586361218402,WX_wet_days,forecast,ETS,117.09637815430621,117.33534907006184,117.03290150480862,117.39882571955943
manila,2025,116.43693785644771,WX_wet_days,forecast,ETS,116.3174523985699,116.55642331432553,116.25397574907231,116.61989996382312
manila,2026,115.66318823740711,WX_wet_days,forecast,ETS,115.5437027795293,115.78267369528493,115.48022613003171,115.84615034478252
manila,2027,114.89458035847053,WX_wet_days,forecast,ETS,114.77509490059272,115.01406581634835,114.71161825109513,115.07754246584594
manila,2028,114.13108005161946,WX_wet_days,forecast,ETS,114.01159459374165,114.25056550949728,113.94811794424406,114.31404215899487
manila,2029,113.37265337588947,WX_wet_days,forecast,ETS,113.25316791801166,113.49213883376729,113.18969126851407,113.55561548326487
munoz nueva ecija,2019,116.0,WX_wet_days,history,ETS,,,,
munoz nueva ecija,2020,111.0,WX_wet_days,history,ETS,,,,
munoz nueva ecija,2021,101.0,WX_wet_days,history,ETS,,,,
munoz nueva ecija,2022,109.0,WX_wet_days,history,ETS,,,,
munoz nueva ecija,2023,109.0,WX_wet_days,history,ETS,,,,
munoz nueva ecija,2024,104.52091460532182,WX_wet_days,forecast,ETS,98.3343950668414,110.70743414380225,95.04780656202368,113.99402264861996
munoz nueva ecija,2025,103.04033138696904,WX_wet_days,forecast,ETS,96.85381184848862,109.22685092544947,93.5672233436709,112.51343943026718
munoz nueva ecija,2026,101.5807212597411,WX_wet_days,forecast,ETS,95.39420172126067,107.76724079822152,92.10761321644296,111.05382930303924
munoz nueva ecija,2027,100.14178713088037,WX_wet_days,forecast,ETS,93.95526759239995,106.3283066693608,90.66867908758223,109.61489517417851
munoz nueva ecija,2028,98.7232361160743,WX_wet_days,forecast,ETS,92.53671657759388,104.90975565455473,89.25012807277616,108.19634415937244
munoz nueva ecija,2029,97.32477947984147,WX_wet_days,forecast,ETS,91.13825994136104,103.51129901832189,87.85167143654333,106.79788752313961
olongapo zambales,2018,111.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2019,119.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2020,106.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2021,105.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2022,118.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2023,109.0,WX_wet_days,history,ETS,,,,
olongapo zambales,2024,109.81277056259799,WX_wet_days,forecast,ETS,109.7831471189096,109.84239400628638,109.76740966445013,109.85813146074585
olongapo zambales,2025,109.41906911277373,WX_wet_days,forecast,ETS,109.38944566908533,109.44869255646212,109.37370821462586,109.46443001092159
olongapo zambales,2026,109.02677916391426,WX_wet_days,forecast,ETS,108.99715572022586,109.05640260760265,108.9814182657664,109.07214006206212
olongapo zambales,2027,108.63589565549722,WX_wet_days,forecast,ETS,108.60627221180883,108.66551909918562,108.59053475734936,108.68125655364508
olongapo zambales,2028,108.24641354514335,WX_wet_days,forecast,ETS,108.21679010145496,108.27603698883175,108.20105264699549,108.29177444329122
olongapo zambales,2029,107.85832780855131,WX_wet_days,forecast,ETS,107.82870436486292,107.8879512522397,107.81296691040345,107.90368870669917
pasay,2018,96.0,WX_wet_days,history,ETS,,,,
pasay,2019,94.0,WX_wet_days,history,ETS,,,,
pasay,2020,83.0,WX_wet_days,history,ETS,,,,
pasay,2021,110.0,WX_wet_days,history,ETS,,,,
pasay,2022,121.0,WX_wet_days,history,ETS,,,,
pasay,2023,137.0,WX_wet_days,history,ETS,,,,
pasay,2024,139.60982552006692,WX_wet_days,forecast,ETS,139.44418581471194,139.7754652254219,139.35618972124212,139.86346131889172
pasay,2025,151.31224865095092,WX_wet_days,forecast,ETS,151.14660894559594,151.4778883563059,151.05861285212612,151.56588444977572
pasay,2026,163.99559634516046,WX_wet_days,forecast,ETS,163.8299566398055,164.16123605051544,163.74196054633566,164.24923214398527
pasay,2027,177.74209200106165,WX_wet_days,forecast,ETS,177.57645229570667,177.90773170641663,177.48845620223685,177.99572779988645
pasay,2028,192.64085117518556,WX_wet_days,forecast,ETS,192.47521146983058,192.80649088054054,192.38721537636076,192.89448697401036
pasay,2029,208.78845929909687,WX_wet_days,forecast,ETS,208.6228195937419,208.95409900445185,208.53482350027207,209.04209509792167
