Area_slug,Year,actual,forecast,error,variable,method
alabat quezon,2023,5.313205979041787,5.442856340126636,-0.12965036108484895,WX_wet_days,ETS
ambulong batangas,2023,4.927253685157205,5.009455474037712,-0.08220178888050711,WX_wet_days,ETS
baler aurora,2023,5.056245805348308,5.229056851812651,-0.17281104646434287,WX_wet_days,ETS
casiguran aurora,2023,5.099866427824199,5.282614376822957,-0.18274794899875868,WX_wet_days,ETS
cavite,2023,4.700480365792417,4.712588880735863,-0.012108514943446558,WX_wet_days,ETS
clark pampanga,2023,4.6913478822291435,4.730633253336589,-0.03928537110744568,WX_wet_days,ETS
iba zambales,2023,4.727387818712341,4.758751999108037,-0.03136418039569655,WX_wet_days,ETS
infanta quezon,2023,5.278114659230517,5.560904251286101,-0.2827895920555843,WX_wet_days,ETS
manila,2023,4.770684624465665,4.86403263843271,-0.09334801396704506,WX_wet_days,ETS
olongapo zambales,2023,4.6913478822291435,4.714491197610704,-0.023143315381560114,WX_wet_days,ETS
pasay,2023,4.919980925828125,4.790574906019547,0.12940601980857824,WX_wet_days,ETS
quezon,2023,4.983606621708336,4.95220437616608,0.03140224554225668,WX_wet_days,ETS
tanay rizal,2023,5.117993812416755,5.139781015951392,-0.021787203534636923,WX_wet_days,ETS
