Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
alabat quezon,2018,1.793388429752066,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2019,1.6082191780821915,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2020,1.524590163934426,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2021,1.772602739726027,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2022,1.5808219178082192,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2023,2.095890410958904,WX_wind_speed_avg,history,ETS,,,,
alabat quezon,2024,1.877126278838725,WX_wind_speed_avg,forecast,ETS,1.5133394356037047,2.2409131220737453,1.3200776751351002,2.43417488254235
alabat quezon,2025,1.9248402630397097,WX_wind_speed_avg,forecast,ETS,1.5610534198046893,2.28862710627473,1.3677916593360848,2.4818888667433345
alabat quezon,2026,1.9737670714997735,WX_wind_speed_avg,forecast,ETS,1.609980228264753,2.337553914734794,1.4167184677961486,2.5308156752033986
alabat quezon,2027,2.0239375325537976,WX_wind_speed_avg,forecast,ETS,1.6601506893187772,2.387724375788818,1.4668889288501727,2.5809861362574225
alabat quezon,2028,2.075383258150796,WX_wind_speed_avg,forecast,ETS,1.7115964149157754,2.439170101385816,1.518334654447171,2.6324318618544207
alabat quezon,2029,2.1281366637723163,WX_wind_speed_avg,forecast,ETS,1.7643498205372958,2.4919235070073364,1.5710880600686914,2.685185267475941
ambulong batangas,2018,1.9397260273972603,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2019,1.9232876712328768,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2020,1.8465909090909087,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2021,2.3095890410958906,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2022,1.9342465753424656,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2023,2.06027397260274,WX_wind_speed_avg,history,ETS,,,,
ambulong batangas,2024,2.108159214295516,WX_wind_speed_avg,forecast,ETS,2.0880435738912375,2.1282748546997947,2.0773571399264648,2.1389612886645675
ambulong batangas,2025,2.1410739799080694,WX_wind_speed_avg,forecast,ETS,2.1209583395037908,2.161189620312348,2.110271905539018,2.1718760542771207
ambulong batangas,2026,2.174502644939596,WX_wind_speed_avg,forecast,ETS,2.1543870045353173,2.1946182853438745,2.1437005705705445,2.2053047193086472
ambulong batangas,2027,2.208453232920201,WX_wind_speed_avg,forecast,ETS,2.1883375925159223,2.2285688733244795,2.1776511585511495,2.2392553072892523
ambulong batangas,2028,2.2429338926516555,WX_wind_speed_avg,forecast,ETS,2.222818252247377,2.263049533055934,2.212131818282604,2.273735967020707
ambulong batangas,2029,2.2779529001632643,WX_wind_speed_avg,forecast,ETS,2.2578372597589857,2.298068540567543,2.247150825794213,2.3087549745323157
baler aurora,2018,1.947945205479452,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2019,1.915068493150685,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2020,1.73224043715847,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2021,2.068870523415978,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2022,1.978082191780822,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2023,1.8054794520547943,WX_wind_speed_avg,history,ETS,,,,
baler aurora,2024,1.8847841700682302,WX_wind_speed_avg,forecast,ETS,1.7611679829058755,2.008400357230585,1.6954968834758746,2.074071456660586
baler aurora,2025,1.879136408570426,WX_wind_speed_avg,forecast,ETS,1.7555202214080714,2.002752595732781,1.6898491219780705,2.0684236951627817
baler aurora,2026,1.8735055706071264,WX_wind_speed_avg,forecast,ETS,1.7498893834447717,1.997121757769481,1.6842182840147708,2.062792857199482
baler aurora,2027,1.867891605466909,WX_wind_speed_avg,forecast,ETS,1.7442754183045543,1.9915077926292637,1.6786043188745534,2.0571788920592646
baler aurora,2028,1.8622944625903082,WX_wind_speed_avg,forecast,ETS,1.7386782754279535,1.9859106497526628,1.6730071759979526,2.051581749182664
baler aurora,2029,1.8567140915693594,WX_wind_speed_avg,forecast,ETS,1.7330979044070047,1.980330278731714,1.6674268049770038,2.046001378161715
cabanatuan nueva ecija,2018,1.3917808219178085,WX_wind_speed_avg,history,Hold,,,,
cabanatuan nueva ecija,2019,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2020,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2021,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2022,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2023,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2024,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2025,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2026,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2027,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2028,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
cabanatuan nueva ecija,2029,1.3917808219178085,WX_wind_speed_avg,forecast,Hold,1.3917808219178085,1.3917808219178085,1.3917808219178085,1.3917808219178085
casiguran aurora,2018,2.098901098901099,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2019,1.7417582417582418,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2020,1.530054644808743,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2021,1.906849315068493,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2022,1.501369863013699,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2023,1.8767123287671232,WX_wind_speed_avg,history,ETS,,,,
casiguran aurora,2024,1.6301534384688183,WX_wind_speed_avg,forecast,ETS,1.3118335198780593,1.9484733570595774,1.1427260631267186,2.117580813810918
casiguran aurora,2025,1.5940045208212634,WX_wind_speed_avg,forecast,ETS,1.2756846022305044,1.9123244394120225,1.1065771454791637,2.0814318961633633
casiguran aurora,2026,1.5586572113022767,WX_wind_speed_avg,forecast,ETS,1.2403372927115177,1.8769771298930358,1.071229835960177,2.046084586644376
casiguran aurora,2027,1.524093734121223,WX_wind_speed_avg,forecast,ETS,1.205773815530464,1.842413652711982,1.0366663587791234,2.011521109463323
casiguran aurora,2028,1.4902967076685159,WX_wind_speed_avg,forecast,ETS,1.1719767890777568,1.8086166262592749,1.0028693323264162,1.9777240830106155
casiguran aurora,2029,1.4572491357745885,WX_wind_speed_avg,forecast,ETS,1.1389292171838294,1.7755690543653475,0.9698217604324888,1.9446765111166882
cavite,2018,2.9287671232876717,WX_wind_speed_avg,history,ETS,,,,
cavite,2019,2.978082191780822,WX_wind_speed_avg,history,ETS,,,,
cavite,2020,2.628415300546448,WX_wind_speed_avg,history,ETS,,,,
cavite,2021,2.589041095890411,WX_wind_speed_avg,history,ETS,,,,
cavite,2022,2.774725274725274,WX_wind_speed_avg,history,ETS,,,,
cavite,2023,3.216438356164383,WX_wind_speed_avg,history,ETS,,,,
cavite,2024,3.277278570988175,WX_wind_speed_avg,forecast,ETS,2.993280000439074,3.5612771415372757,2.8424057598348647,3.712151382141485
cavite,2025,3.3392696091679337,WX_wind_speed_avg,forecast,ETS,3.055271038618833,3.6232681797170345,2.9043967980146235,3.774142420321244
cavite,2026,3.4024332326898783,WX_wind_speed_avg,forecast,ETS,3.1184346621407775,3.686431803238979,2.967560421536568,3.8373060438431885
cavite,2027,3.466791621475901,WX_wind_speed_avg,forecast,ETS,3.1827930509268008,3.7507901920250015,3.031918810322591,3.9016644326292114
cavite,2028,3.5323673749900064,WX_wind_speed_avg,forecast,ETS,3.248368804440906,3.816365945539107,3.097494563836696,3.9672401861433166
cavite,2029,3.5991835201741225,WX_wind_speed_avg,forecast,ETS,3.3151849496250216,3.8831820907232233,3.1643107090208122,4.034056331327433
clark pampanga,2018,2.3698630136986303,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2019,2.336986301369863,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2020,2.344262295081968,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2021,2.246575342465753,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2022,2.156164383561644,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2023,2.156164383561644,WX_wind_speed_avg,history,ETS,,,,
clark pampanga,2024,2.1014393380734617,WX_wind_speed_avg,forecast,ETS,2.090447141577592,2.1124315345693314,2.084607537189161,2.1182711389577626
clark pampanga,2025,2.0564959066659085,WX_wind_speed_avg,forecast,ETS,2.045503710170039,2.0674881031617782,2.0396641057816076,2.0733277075502095
clark pampanga,2026,2.0125136793198233,WX_wind_speed_avg,forecast,ETS,2.0015214828239536,2.023505875815693,1.9956818784355226,2.029345480204124
clark pampanga,2027,1.9694720987875987,WX_wind_speed_avg,forecast,ETS,1.9584799022917287,1.9804642952834686,1.952640297903298,1.9863038996718994
clark pampanga,2028,1.9273510474789757,WX_wind_speed_avg,forecast,ETS,1.9163588509831058,1.9383432439748456,1.910519246594675,1.9441828483632764
clark pampanga,2029,1.8861308380581034,WX_wind_speed_avg,forecast,ETS,1.8751386415622335,1.8971230345539734,1.8692990371738027,1.9029626389424041
iba zambales,2018,2.276712328767123,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2019,2.1671232876712327,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2020,2.043715846994536,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2021,2.158904109589041,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2022,2.0356164383561643,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2023,2.197260273972603,WX_wind_speed_avg,history,ETS,,,,
iba zambales,2024,2.0792915378589476,WX_wind_speed_avg,forecast,ETS,1.9548101207447326,2.2037729549731626,1.888679367902806,2.2699037078150894
iba zambales,2025,2.06092196153561,WX_wind_speed_avg,forecast,ETS,1.9364405444213948,2.185403378649825,1.8703097915794682,2.2515341314917516
iba zambales,2026,2.042714671898941,WX_wind_speed_avg,forecast,ETS,1.918233254784726,2.167196089013156,1.8521025019427995,2.233326841855083
iba zambales,2027,2.0246682352213368,WX_wind_speed_avg,forecast,ETS,1.9001868181071218,2.1491496523355518,1.8340560652651952,2.2152804051774786
iba zambales,2028,2.0067812304415096,WX_wind_speed_avg,forecast,ETS,1.8822998133272946,2.1312626475557246,1.816169060485368,2.1973934003976514
iba zambales,2029,1.9890522490525908,WX_wind_speed_avg,forecast,ETS,1.8645708319383758,2.1135336661668056,1.7984400790964492,2.1796644190087324
infanta quezon,2018,1.8904109589041096,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2019,1.632876712328767,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2020,1.6775956284153006,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2021,1.9397260273972603,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2022,1.6602739726027398,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2023,1.8246575342465756,WX_wind_speed_avg,history,ETS,,,,
infanta quezon,2024,1.7701179164092091,WX_wind_speed_avg,forecast,ETS,1.6871577679428051,1.853078064875613,1.6430851890700282,1.89715064374839
infanta quezon,2025,1.7710332119963803,WX_wind_speed_avg,forecast,ETS,1.6880730635299763,1.8539933604627843,1.6440004846571994,1.8980659393355612
infanta quezon,2026,1.7719489808661526,WX_wind_speed_avg,forecast,ETS,1.6889888323997486,1.8549091293325566,1.6449162535269717,1.8989817082053335
infanta quezon,2027,1.7728652232632516,WX_wind_speed_avg,forecast,ETS,1.6899050747968476,1.8558253717296556,1.6458324959240707,1.8998979506024325
infanta quezon,2028,1.7737819394325303,WX_wind_speed_avg,forecast,ETS,1.6908217909661263,1.8567420878989342,1.6467492120933493,1.9008146667717112
infanta quezon,2029,1.774699129618967,WX_wind_speed_avg,forecast,ETS,1.691738981152563,1.857659278085371,1.647666402279786,1.9017318569581478
manila,2018,2.263013698630137,WX_wind_speed_avg,history,ETS,,,,
manila,2019,2.654794520547945,WX_wind_speed_avg,history,ETS,,,,
manila,2020,2.476470588235294,WX_wind_speed_avg,history,ETS,,,,
manila,2021,2.5835616438356164,WX_wind_speed_avg,history,ETS,,,,
manila,2022,2.4794520547945207,WX_wind_speed_avg,history,ETS,,,,
manila,2023,2.7434210526315788,WX_wind_speed_avg,history,ETS,,,,
manila,2024,2.739312623517668,WX_wind_speed_avg,forecast,ETS,2.673853389552463,2.8047718574828733,2.6390781715084475,2.839547075526889
manila,2025,2.802637392349828,WX_wind_speed_avg,forecast,ETS,2.737178158384623,2.868096626315033,2.7024029403406074,2.9028718443590487
manila,2026,2.867426041687346,WX_wind_speed_avg,forecast,ETS,2.801966807722141,2.932885275652551,2.7671915896781254,2.9676604936965667
manila,2027,2.933712412098035,WX_wind_speed_avg,forecast,ETS,2.86825317813283,2.9991716460632403,2.8334779600888145,3.033946864107256
manila,2028,3.0015311264430897,WX_wind_speed_avg,forecast,ETS,2.9360718924778846,3.066990360408295,2.901296674433869,3.1017655784523104
manila,2029,3.070917607961386,WX_wind_speed_avg,forecast,ETS,3.0054583739961807,3.136376841926591,2.970683155952165,3.1711520599706065
munoz nueva ecija,2019,2.1835616438356165,WX_wind_speed_avg,history,ETS,,,,
munoz nueva ecija,2020,2.180327868852459,WX_wind_speed_avg,history,ETS,,,,
munoz nueva ecija,2021,2.4438356164383563,WX_wind_speed_avg,history,ETS,,,,
munoz nueva ecija,2022,2.336986301369863,WX_wind_speed_avg,history,ETS,,,,
munoz nueva ecija,2023,2.331506849315069,WX_wind_speed_avg,history,ETS,,,,
munoz nueva ecija,2024,2.4351933128378924,WX_wind_speed_avg,forecast,ETS,2.3061536333898176,2.5642329922859672,2.237601303683028,2.632785321992757
munoz nueva ecija,2025,2.4845120978791915,WX_wind_speed_avg,forecast,ETS,2.3554724184311167,2.6135517773272663,2.286920088724327,2.682104107034056
munoz nueva ecija,2026,2.5348297122722,WX_wind_speed_avg,forecast,ETS,2.4057900328241253,2.663869391720275,2.3372377031173355,2.7324217214270647
munoz nueva ecija,2027,2.586166384821684,WX_wind_speed_avg,forecast,ETS,2.457126705373609,2.7152060642697586,2.388574375666819,2.7837583939765485
munoz nueva ecija,2028,2.638542754016545,WX_wind_speed_avg,forecast,ETS,2.50950307456847,2.7675824334646197,2.4409507448616803,2.8361347631714096
munoz nueva ecija,2029,2.6919798763269585,WX_wind_speed_avg,forecast,ETS,2.5629401968788836,2.8210195557750333,2.494387867172094,2.889571885481823
olongapo zambales,2018,3.789041095890411,WX_wind_speed_avg,history,ETS,,,,
olongapo zambales,2019,3.4356164383561643,WX_wind_speed_avg,history,ETS,,,,
olongapo zambales,2020,3.450819672131148,WX_wind_speed_avg,history,ETS,,,,
