Region,Area_display,Area_slug,Fault_Distance_km,Fault_Proximity_Index,Nearest_Fault_Name
NCR,Caloocan,caloocan,9.4,0.1063829787234042,
NCR,Makati,makati,2.3,0.4347826086956522,
NCR,Malabon,malabon,11.0,0.0909090909090909,
NCR,Mandaluyong,mandaluyong,1.9,0.5263157894736842,
NCR,Manila,manila,5.4,0.1851851851851851,
NCR,Marikina,marikina,0.0,1.0,
NCR,Muntinlupa,muntinlupa,0.0,1.0,
NCR,Navotas,navotas,12.2,0.0819672131147541,
NCR,Parañaque,paranaque,1.2,0.8333333333333334,
NCR,Pasay,pasay,3.7,0.2702702702702702,
NCR,Pasig,pasig,0.0,1.0,
NCR,Pateros,pateros,0.487,1.0,
NCR,Quezon,quezon,0.0,1.0,
NCR,San Juan,san juan,2.9,0.3448275862068966,
NCR,Taguig,taguig,0.0,1.0,
NCR,Valenzuela,valenzuela,9.2,0.108695652173913,
NCR,las Piñas,las pinas,3.7,0.2702702702702702,
Region III (Central Luzon),Angeles,angeles,27.9,0.03584229390681,
Region III (Central Luzon),Baler,baler,19.1,0.0523560209424083,
Region III (Central Luzon),Bocaue,bocaue,19.4,0.0515463917525773,
Region III (Central Luzon),Bustos,bustos,22.3,0.0448430493273542,
Region III (Central Luzon),Cabanatuan,cabanatuan,5.4,0.1851851851851851,
Region III (Central Luzon),Casiguran,casiguran,0.0,1.0,
Region III (Central Luzon),Gapan,gapan,15.7,0.0636942675159235,
Region III (Central Luzon),Iba,iba,5.0,0.2,
Region III (Central Luzon),Mabalacat,mabalacat,28.0,0.0357142857142857,
Region III (Central Luzon),Malolos,malolos,30.6,0.0326797385620915,
Region III (Central Luzon),Meycauayan,meycauayan,12.3,0.08130081300813,
Region III (Central Luzon),Olongapo,olongapo,34.8,0.028735632183908,
Region III (Central Luzon),San Fernando,san fernando,37.2,0.0268817204301075,
Region III (Central Luzon),San Jose del Monte,san jose del monte,3.7,0.2702702702702702,
Region III (Central Luzon),San Miguel,san miguel,19.8,0.0505050505050505,
Region III (Central Luzon),San Rafael,san rafael,15.6,0.0641025641025641,
Region III (Central Luzon),Science City of Muñoz,science city of munoz,6.0,0.1666666666666666,
Region IV-A (CALABARZON),Antipolo,antipolo,4.0,0.25,
Region IV-A (CALABARZON),Bacoor,bacoor,5.0,0.2,
Region IV-A (CALABARZON),Batangas,batangas,10.5,0.0952380952380952,
Region IV-A (CALABARZON),Biñan,binan,1.1,0.9090909090909092,
Region IV-A (CALABARZON),Cabuyao,cabuyao,0.0,1.0,
Region IV-A (CALABARZON),Calaca,calaca,26.9,0.037174721189591,
Region IV-A (CALABARZON),Calamba,calamba,0.0,1.0,
Region IV-A (CALABARZON),Carmona,carmona,0.0,1.0,
Region IV-A (CALABARZON),Cavite,cavite,14.5,0.0689655172413793,
Region IV-A (CALABARZON),Dasmariñas,dasmarinas,4.0,0.25,
Region IV-A (CALABARZON),General Trias,general trias,13.1,0.0763358778625954,
Region IV-A (CALABARZON),Imus,imus,9.2,0.108695652173913,
Region IV-A (CALABARZON),Infanta,infanta,0.0,1.0,
Region IV-A (CALABARZON),Lipa,lipa,21.6,0.0462962962962962,
Region IV-A (CALABARZON),Lucena,lucena,9.7,0.1030927835051546,
Region IV-A (CALABARZON),San Pablo,san pablo,26.6,0.037593984962406,
Region IV-A (CALABARZON),San Pedro,san pedro,0.0,1.0,
Region IV-A (CALABARZON),Santa Rosa,santa rosa,1.7,0.5882352941176471,
Region IV-A (CALABARZON),Santo Tomas,santo tomas,9.7,0.1030927835051546,
Region IV-A (CALABARZON),Tagaytay,tagaytay,3.4,0.2941176470588235,
Region IV-A (CALABARZON),Tanauan,tanauan,8.5,0.1176470588235294,
Region IV-A (CALABARZON),Tanay,tanay,0.0,1.0,
Region IV-A (CALABARZON),Tayabas,tayabas,2.2,0.4545454545454545,
Region IV-A (CALABARZON),Trece Martires,trece martires,15.0,0.0666666666666666,
