Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
angeles,2000,707245644.0,GRDP_Const2018,history,history,,,,
angeles,2001,749289527.0,GRDP_Const2018,history,history,,,,
angeles,2002,791683392.0,GRDP_Const2018,history,history,,,,
angeles,2003,826169061.0,GRDP_Const2018,history,history,,,,
angeles,2004,852296755.0,GRDP_Const2018,history,history,,,,
angeles,2005,885593565.0,GRDP_Const2018,history,history,,,,
angeles,2006,927301530.0,GRDP_Const2018,history,history,,,,
angeles,2007,981902705.0,GRDP_Const2018,history,history,,,,
angeles,2008,1032623864.0,GRDP_Const2018,history,history,,,,
angeles,2009,1039474095.0,GRDP_Const2018,history,history,,,,
angeles,2010,1143777786.0,GRDP_Const2018,history,history,,,,
angeles,2011,1233431610.0,GRDP_Const2018,history,history,,,,
angeles,2012,1336963348.0,GRDP_Const2018,history,history,,,,
angeles,2013,1417025690.0,GRDP_Const2018,history,history,,,,
angeles,2014,1526621058.0,GRDP_Const2018,history,history,,,,
angeles,2015,1619134911.0,GRDP_Const2018,history,history,,,,
angeles,2016,1747565400.0,GRDP_Const2018,history,history,,,,
angeles,2017,1929193858.0,GRDP_Const2018,history,history,,,,
angeles,2018,2062393875.0,GRDP_Const2018,history,history,,,,
angeles,2019,2183779631.0,GRDP_Const2018,history,history,,,,
angeles,2020,1881277315.0,GRDP_Const2018,history,history,,,,
angeles,2021,2021186175.0,GRDP_Const2018,history,history,,,,
angeles,2022,2184784695.0,GRDP_Const2018,history,history,,,,
angeles,2023,2318428274.0,GRDP_Const2018,history,history,,,,
angeles,2024,2310908201.2535706,GRDP_Const2018,forecast,Linear,2164153652.426576,2457662750.080565,2086470845.0574803,2535345557.449661
angeles,2025,2384450378.1405334,GRDP_Const2018,forecast,Linear,2237695829.313539,2531204926.967528,2160013021.944443,2608887734.3366237
angeles,2026,2457992555.0274963,GRDP_Const2018,forecast,Linear,2311238006.200502,2604747103.8544908,2233555198.831406,2682429911.2235866
angeles,2027,2531534731.9144287,GRDP_Const2018,forecast,Linear,2384780183.0874343,2678289280.741423,2307097375.7183385,2755972088.110519
angeles,2028,2605076908.8013916,GRDP_Const2018,forecast,Linear,2458322359.974397,2751831457.628386,2380639552.6053014,2829514264.997482
angeles,2029,2678619085.6883545,GRDP_Const2018,forecast,Linear,2531864536.86136,2825373634.515349,2454181729.4922643,2903056441.8844447
aurora,2000,707245644.0,GRDP_Const2018,history,history,,,,
aurora,2001,749289527.0,GRDP_Const2018,history,history,,,,
aurora,2002,791683392.0,GRDP_Const2018,history,history,,,,
aurora,2003,826169061.0,GRDP_Const2018,history,history,,,,
aurora,2004,852296755.0,GRDP_Const2018,history,history,,,,
aurora,2005,885593565.0,GRDP_Const2018,history,history,,,,
aurora,2006,927301530.0,GRDP_Const2018,history,history,,,,
aurora,2007,981902705.0,GRDP_Const2018,history,history,,,,
aurora,2008,1032623864.0,GRDP_Const2018,history,history,,,,
aurora,2009,1039474095.0,GRDP_Const2018,history,history,,,,
aurora,2010,1143777786.0,GRDP_Const2018,history,history,,,,
aurora,2011,1233431610.0,GRDP_Const2018,history,history,,,,
aurora,2012,1336963348.0,GRDP_Const2018,history,history,,,,
aurora,2013,1417025690.0,GRDP_Const2018,history,history,,,,
aurora,2014,1526621058.0,GRDP_Const2018,history,history,,,,
aurora,2015,1619134911.0,GRDP_Const2018,history,history,,,,
aurora,2016,1747565400.0,GRDP_Const2018,history,history,,,,
aurora,2017,1929193858.0,GRDP_Const2018,history,history,,,,
aurora,2018,2062393875.0,GRDP_Const2018,history,history,,,,
aurora,2019,2183779631.0,GRDP_Const2018,history,history,,,,
aurora,2020,1881277315.0,GRDP_Const2018,history,history,,,,
aurora,2021,2021186175.0,GRDP_Const2018,history,history,,,,
aurora,2022,2184784695.0,GRDP_Const2018,history,history,,,,
aurora,2023,2318428274.0,GRDP_Const2018,history,history,,,,
aurora,2024,2310908201.2535706,GRDP_Const2018,forecast,Linear,2164153652.426576,2457662750.080565,2086470845.0574803,2535345557.449661
aurora,2025,2384450378.1405334,GRDP_Const2018,forecast,Linear,2237695829.313539,2531204926.967528,2160013021.944443,2608887734.3366237
aurora,2026,2457992555.0274963,GRDP_Const2018,forecast,Linear,2311238006.200502,2604747103.8544908,2233555198.831406,2682429911.2235866
aurora,2027,2531534731.9144287,GRDP_Const2018,forecast,Linear,2384780183.0874343,2678289280.741423,2307097375.7183385,2755972088.110519
aurora,2028,2605076908.8013916,GRDP_Const2018,forecast,Linear,2458322359.974397,2751831457.628386,2380639552.6053014,2829514264.997482
aurora,2029,2678619085.6883545,GRDP_Const2018,forecast,Linear,2531864536.86136,2825373634.515349,2454181729.4922643,2903056441.8844447
bataan,2000,707245644.0,GRDP_Const2018,history,history,,,,
bataan,2001,749289527.0,GRDP_Const2018,history,history,,,,
bataan,2002,791683392.0,GRDP_Const2018,history,history,,,,
bataan,2003,826169061.0,GRDP_Const2018,history,history,,,,
bataan,2004,852296755.0,GRDP_Const2018,history,history,,,,
bataan,2005,885593565.0,GRDP_Const2018,history,history,,,,
bataan,2006,927301530.0,GRDP_Const2018,history,history,,,,
bataan,2007,981902705.0,GRDP_Const2018,history,history,,,,
bataan,2008,1032623864.0,GRDP_Const2018,history,history,,,,
bataan,2009,1039474095.0,GRDP_Const2018,history,history,,,,
bataan,2010,1143777786.0,GRDP_Const2018,history,history,,,,
bataan,2011,1233431610.0,GRDP_Const2018,history,history,,,,
bataan,2012,1336963348.0,GRDP_Const2018,history,history,,,,
bataan,2013,1417025690.0,GRDP_Const2018,history,history,,,,
bataan,2014,1526621058.0,GRDP_Const2018,history,history,,,,
bataan,2015,1619134911.0,GRDP_Const2018,history,history,,,,
bataan,2016,1747565400.0,GRDP_Const2018,history,history,,,,
bataan,2017,1929193858.0,GRDP_Const2018,history,history,,,,
bataan,2018,2062393875.0,GRDP_Const2018,history,history,,,,
bataan,2019,2183779631.0,GRDP_Const2018,history,history,,,,
bataan,2020,1881277315.0,GRDP_Const2018,history,history,,,,
bataan,2021,2021186175.0,GRDP_Const2018,history,history,,,,
bataan,2022,2184784695.0,GRDP_Const2018,history,history,,,,
bataan,2023,2318428274.0,GRDP_Const2018,history,history,,,,
bataan,2024,2310908201.2535706,GRDP_Const2018,forecast,Linear,2164153652.426576,2457662750.080565,2086470845.0574803,2535345557.449661
bataan,2025,2384450378.1405334,GRDP_Const2018,forecast,Linear,2237695829.313539,2531204926.967528,2160013021.944443,2608887734.3366237
bataan,2026,2457992555.0274963,GRDP_Const2018,forecast,Linear,2311238006.200502,2604747103.8544908,2233555198.831406,2682429911.2235866
bataan,2027,2531534731.9144287,GRDP_Const2018,forecast,Linear,2384780183.0874343,2678289280.741423,2307097375.7183385,2755972088.110519
bataan,2028,2605076908.8013916,GRDP_Const2018,forecast,Linear,2458322359.974397,2751831457.628386,2380639552.6053014,2829514264.997482
bataan,2029,2678619085.6883545,GRDP_Const2018,forecast,Linear,2531864536.86136,2825373634.515349,2454181729.4922643,2903056441.8844447
batangas,2000,1050505077.0,GRDP_Const2018,history,history,,,,
batangas,2001,1068135114.0,GRDP_Const2018,history,history,,,,
batangas,2002,1120500727.0,GRDP_Const2018,history,history,,,,
batangas,2003,1179350176.0,GRDP_Const2018,history,history,,,,
batangas,2004,1244396888.0,GRDP_Const2018,history,history,,,,
batangas,2005,1310160075.0,GRDP_Const2018,history,history,,,,
batangas,2006,1369674210.0,GRDP_Const2018,history,history,,,,
batangas,2007,1446188225.0,GRDP_Const2018,history,history,,,,
batangas,2008,1497994676.0,GRDP_Const2018,history,history,,,,
batangas,2009,1486472826.0,GRDP_Const2018,history,history,,,,
batangas,2010,1638482343.0,GRDP_Const2018,history,history,,,,
batangas,2011,1676719329.0,GRDP_Const2018,history,history,,,,
batangas,2012,1809708699.0,GRDP_Const2018,history,history,,,,
batangas,2013,1942476533.0,GRDP_Const2018,history,history,,,,
batangas,2014,2054936917.0,GRDP_Const2018,history,history,,,,
batangas,2015,2196313576.0,GRDP_Const2018,history,history,,,,
batangas,2016,2346818115.0,GRDP_Const2018,history,history,,,,
batangas,2017,2527658901.0,GRDP_Const2018,history,history,,,,
batangas,2018,2706994745.0,GRDP_Const2018,history,history,,,,
batangas,2019,2831599919.0,GRDP_Const2018,history,history,,,,
batangas,2020,2534444265.0,GRDP_Const2018,history,history,,,,
batangas,2021,2728935837.0,GRDP_Const2018,history,history,,,,
batangas,2022,2942514950.0,GRDP_Const2018,history,history,,,,
batangas,2023,3095255701.0,GRDP_Const2018,history,history,,,,
batangas,2024,3058452095.8840027,GRDP_Const2018,forecast,Linear,2897445781.6047,3219458410.1633053,2812218968.552984,3304685223.215021
batangas,2025,3150440804.141388,GRDP_Const2018,forecast,Linear,2989434489.8620853,3311447118.4206905,2904207676.8103695,3396673931.4724064
batangas,2026,3242429512.398773,GRDP_Const2018,forecast,Linear,3081423198.1194706,3403435826.678076,2996196385.0677547,3488662639.7297916
batangas,2027,3334418220.656189,GRDP_Const2018,forecast,Linear,3173411906.3768864,3495424534.9354916,3088185093.3251705,3580651347.9872074
batangas,2028,3426406928.913574,GRDP_Const2018,forecast,Linear,3265400614.6342716,3587413243.192877,3180173801.582556,3672640056.2445927
batangas,2029,3518395637.1709595,GRDP_Const2018,forecast,Linear,3357389322.891657,3679401951.450262,3272162509.839941,3764628764.501978
bulacan,2000,707245644.0,GRDP_Const2018,history,history,,,,
