Area_slug,Area_display,Region,Flood_Index_0to1,Landslide_Index_0to1,StormSurge_Index_0to1,Fault_Proximity_Index,Hydromet_Index_0to1,HazardScore
angeles,Angeles,Region III (Central Luzon),0.2,0.2,0.2,0.03584229390681,0.2,0.13433691756272403
aurora,Aurora,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
bataan,Bataan,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
batangas,Batangas,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0952380952380952,0.6,0.3180952380952381
bulacan,Bulacan,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
caloocan,Caloocan,NCR,0.2,0.2,0.2,0.1063829787234042,0.2,0.1625531914893617
cavite,Cavite,Region IV-A (Calabarzon),0.2,0.2,1.0,0.0689655172413793,0.6,0.3075862068965517
laguna,Laguna,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0991654393716249,0.6,0.31966617574864997
las pinas,Las Piñas,NCR,0.2,0.2,1.0,0.2702702702702702,0.6,0.38810810810810803
lucena,Lucena,Region IV-A (Calabarzon),1.0,0.2,0.2,0.1030927835051546,0.6,0.32123711340206185
makati,Makati,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.29391304347826097
malabon,Malabon,NCR,0.6,0.2,1.0,0.0909090909090909,0.8,0.3963636363636365
mandaluyong,Mandaluyong,NCR,0.2,0.2,0.2,0.5263157894736842,0.2,0.33052631578947367
manila,Manila,NCR,0.2,0.2,1.0,0.1851851851851851,0.6,0.3540740740740741
marikina,Marikina,NCR,1.0,0.2,0.2,1.0,0.6,0.68
muntinlupa,Muntinlupa,NCR,0.6,0.2,0.2,1.0,0.4,0.6000000000000001
navotas,Navotas,NCR,0.2,0.2,0.2,0.0819672131147541,0.2,0.15278688524590167
nueva ecija,Nueva Ecija,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
olongapo,Olongapo,Region III (Central Luzon),0.6,0.2,1.0,0.028735632183908,0.8,0.3714942528735633
pampanga,Pampanga,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
paranaque,Parañaque,NCR,0.2,0.2,0.6,0.8333333333333334,0.4,0.5333333333333334
pasay city,Pasay City,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.29391304347826097
pasig,Pasig,NCR,0.2,0.2,0.2,1.0,0.2,0.52
pateros,Pateros,NCR,0.6,0.2,0.2,1.0,0.4,0.6000000000000001
quezon,Quezon,Region IV-A (Calabarzon),0.6,0.2,0.6,1.0,0.6,0.68
quezon city,Quezon City,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.29391304347826097
rizal,Rizal,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0991654393716249,0.6,0.31966617574864997
san juan,San Juan,NCR,0.2,0.2,0.2,0.3448275862068966,0.2,0.25793103448275867
taguig,Taguig,NCR,0.2,0.2,0.2,1.0,0.2,0.52
tarlac,Tarlac,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
valenzuela,Valenzuela,NCR,0.2,0.2,0.2,0.108695652173913,0.2,0.16347826086956524
zambales,Zambales,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436
