Area_slug,Area_display,Region,Flood_Index_0to1,Landslide_Index_0to1,StormSurge_Index_0to1,Fault_Proximity_Index,Hydromet_Index_0to1,HazardScore,Flood_Level,Flood_Level_Num,Flood_Why,Landslide_Level,Landslide_Level_Num,Landslide_Why,StormSurge_Level,StormSurge_Level_Num,StormSurge_Why,Nearest_Fault_Name,Fault_Distance_km,Hazard_Tooltip_Short
angeles,Angeles,Region III (Central Luzon),0.2,0.2,0.2,0.03584229390681,0.2,0.134336917562724,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
aurora,Aurora,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
bataan,Bataan,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
batangas,Batangas,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0952380952380952,0.6,0.3180952380952381,Medium,2.0,Medium (computed): flood index ~ 0.6,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,10.5,Flood: Medium | Surge: Medium | Landslide: Low | Fault: nearest fault ~10.5 km
bulacan,Bulacan,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
caloocan,Caloocan,NCR,0.2,0.2,0.2,0.1063829787234042,0.2,0.1625531914893617,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,9.4,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~9.4 km
cavite,Cavite,Region IV-A (Calabarzon),0.2,0.2,1.0,0.0689655172413793,0.6,0.3075862068965517,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,High,3.0,High (NOAH): severe surge; deep/energetic flow (depth or depthxvelocity threshold).,,14.5,Flood: Low | Surge: High | Landslide: Low | Fault: nearest fault ~14.5 km
laguna,Laguna,Region IV-A (Calabarzon),0.6,0.2,0.6,0.0991654393716249,0.6,0.3196661757486499,Medium,2.0,Medium (computed): flood index ~ 0.6,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
las pinas,Las Piñas,NCR,0.2,0.2,1.0,0.2702702702702702,0.6,0.388108108108108,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,High,3.0,High (NOAH): severe surge; deep/energetic flow (depth or depthxvelocity threshold).,,3.7,Flood: Low | Surge: High | Landslide: Low | Fault: nearest fault ~3.7 km
lucena,Lucena,Region IV-A (Calabarzon),1.0,0.2,0.2,0.1030927835051546,0.6,0.3212371134020618,High,3.0,High (NOAH): deep/fast flooding; >1.5 m depth or dangerous depthxvelocity.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,9.7,Flood: High | Surge: Low | Landslide: Low | Fault: nearest fault ~9.7 km
makati,Makati,NCR,0.2,0.2,0.2,0.4347826086956522,0.2,0.2939130434782609,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,2.3,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~2.3 km
malabon,Malabon,NCR,0.6,0.2,1.0,0.0909090909090909,0.8,0.3963636363636365,Medium,2.0,Medium (NOAH): moderate flooding; ~0.5-1.5 m depth and/or notable flow.,Low,1.0,Low (NOAH): generally stable; standard precautions.,High,3.0,High (NOAH): severe surge; deep/energetic flow (depth or depthxvelocity threshold).,,11.0,Flood: Medium | Surge: High | Landslide: Low | Fault: nearest fault ~11.0 km
mandaluyong,Mandaluyong,NCR,0.2,0.2,0.2,0.5263157894736842,0.2,0.3305263157894736,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,1.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~1.9 km
manila,Manila,NCR,0.2,0.2,1.0,0.1851851851851851,0.6,0.3540740740740741,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,High,3.0,High (NOAH): severe surge; deep/energetic flow (depth or depthxvelocity threshold).,,5.4,Flood: Low | Surge: High | Landslide: Low | Fault: nearest fault ~5.4 km
marikina,Marikina,NCR,1.0,0.2,0.2,1.0,0.6,0.68,High,3.0,High (NOAH): deep/fast flooding; >1.5 m depth or dangerous depthxvelocity.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,0.0,Flood: High | Surge: Low | Landslide: Low | Fault: nearest fault ~0.0 km
muntinlupa,Muntinlupa,NCR,0.6,0.2,0.2,1.0,0.4,0.6000000000000001,Medium,2.0,Medium (NOAH): moderate flooding; ~0.5-1.5 m depth and/or notable flow.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,0.0,Flood: Medium | Surge: Low | Landslide: Low | Fault: nearest fault ~0.0 km
navotas,Navotas,NCR,0.2,0.2,0.2,0.0819672131147541,0.2,0.1527868852459016,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,12.2,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~12.2 km
nueva ecija,Nueva Ecija,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
olongapo,Olongapo,Region III (Central Luzon),0.6,0.2,1.0,0.028735632183908,0.8,0.3714942528735633,Medium,2.0,Medium (NOAH): moderate flooding; ~0.5-1.5 m depth and/or notable flow.,Low,1.0,Low (NOAH): generally stable; standard precautions.,High,3.0,High (NOAH): severe surge; deep/energetic flow (depth or depthxvelocity threshold).,,34.8,Flood: Medium | Surge: High | Landslide: Low | Fault: nearest fault ~34.8 km
pampanga,Pampanga,Region III (Central Luzon),0.4,0.2,0.6,0.032288963045359,0.5,0.2529155852181436,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
paranaque,Parañaque,NCR,0.2,0.2,0.6,0.8333333333333334,0.4,0.5333333333333334,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Medium,2.0,Medium (NOAH): significant surge; hazardous in exposed areas.,,1.2,Flood: Low | Surge: Medium | Landslide: Low | Fault: nearest fault ~1.2 km
