Area_slug,Area_display,Region,Year,Price
angeles,Angeles,Region III (Central Luzon),2023,3961400.0
angeles,Angeles,Region III (Central Luzon),2024,3880100.548240364
angeles,Angeles,Region III (Central Luzon),2025,3945982.691454042
angeles,Angeles,Region III (Central Luzon),2026,4011074.343180965
angeles,Angeles,Region III (Central Luzon),2027,4075414.379218891
angeles,Angeles,Region III (Central Luzon),2028,4139038.837234794
angeles,Angeles,Region III (Central Luzon),2029,4201981.197096017
aurora,Aurora,Region III (Central Luzon),2023,3961400.0
aurora,Aurora,Region III (Central Luzon),2024,3880100.548240364
aurora,Aurora,Region III (Central Luzon),2025,3945982.691454042
aurora,Aurora,Region III (Central Luzon),2026,4011074.343180965
aurora,Aurora,Region III (Central Luzon),2027,4075414.379218891
aurora,Aurora,Region III (Central Luzon),2028,4139038.837234794
aurora,Aurora,Region III (Central Luzon),2029,4201981.197096017
bataan,Bataan,Region III (Central Luzon),2023,3961400.0
bataan,Bataan,Region III (Central Luzon),2024,3880100.548240364
bataan,Bataan,Region III (Central Luzon),2025,3945982.691454042
bataan,Bataan,Region III (Central Luzon),2026,4011074.343180965
bataan,Bataan,Region III (Central Luzon),2027,4075414.379218891
bataan,Bataan,Region III (Central Luzon),2028,4139038.837234794
bataan,Bataan,Region III (Central Luzon),2029,4201981.197096017
batangas,Batangas,Region IV-A (Calabarzon),2023,14623750.0
batangas,Batangas,Region IV-A (Calabarzon),2024,14317432.620023375
batangas,Batangas,Region IV-A (Calabarzon),2025,14596735.979606183
batangas,Batangas,Region IV-A (Calabarzon),2026,14875142.912948811
batangas,Batangas,Region IV-A (Calabarzon),2027,15152758.251427278
batangas,Batangas,Region IV-A (Calabarzon),2028,15429679.790195495
batangas,Batangas,Region IV-A (Calabarzon),2029,15705998.963532962
bulacan,Bulacan,Region III (Central Luzon),2023,2182300.0
bulacan,Bulacan,Region III (Central Luzon),2024,2137512.855663388
bulacan,Bulacan,Region III (Central Luzon),2025,2173806.7419498553
bulacan,Bulacan,Region III (Central Luzon),2026,2209665.1535123494
bulacan,Bulacan,Region III (Central Luzon),2027,2245109.506681826
bulacan,Bulacan,Region III (Central Luzon),2028,2280159.654288254
bulacan,Bulacan,Region III (Central Luzon),2029,2314834.0400925525
caloocan,Caloocan,NCR,2023,4500000.0
caloocan,Caloocan,NCR,2024,4382309.894751229
caloocan,Caloocan,NCR,2025,4441161.618232444
caloocan,Caloocan,NCR,2026,4500065.646153952
caloocan,Caloocan,NCR,2027,4559029.590093579
caloocan,Caloocan,NCR,2028,4618060.774313129
caloocan,Caloocan,NCR,2029,4677166.253932709
cavite,Cavite,Region IV-A (Calabarzon),2023,14623750.0
cavite,Cavite,Region IV-A (Calabarzon),2024,14317432.620023375
cavite,Cavite,Region IV-A (Calabarzon),2025,14596735.979606183
cavite,Cavite,Region IV-A (Calabarzon),2026,14875142.912948811
cavite,Cavite,Region IV-A (Calabarzon),2027,15152758.251427278
cavite,Cavite,Region IV-A (Calabarzon),2028,15429679.790195495
cavite,Cavite,Region IV-A (Calabarzon),2029,15705998.963532962
laguna,Laguna,Region IV-A (Calabarzon),2023,14623750.0
laguna,Laguna,Region IV-A (Calabarzon),2024,14317432.620023375
laguna,Laguna,Region IV-A (Calabarzon),2025,14596735.979606183
laguna,Laguna,Region IV-A (Calabarzon),2026,14875142.912948811
laguna,Laguna,Region IV-A (Calabarzon),2027,15152758.251427278
laguna,Laguna,Region IV-A (Calabarzon),2028,15429679.790195495
laguna,Laguna,Region IV-A (Calabarzon),2029,15705998.963532962
las pinas,Las Piñas,NCR,2023,24500000.0
las pinas,Las Piñas,NCR,2024,23859242.76031225
las pinas,Las Piñas,NCR,2025,24179657.69926553
las pinas,Las Piñas,NCR,2026,24500357.406838182
