Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price_to_Income,Price,FamilyIncome_Total,Households_hh
angeles,Angeles,Region III (Central Luzon),2018,39223.47,FamilyIncome_Total,,,,,39223.47,
angeles,Angeles,Region III (Central Luzon),2021,56827.9,FamilyIncome_Total,119979.76213489164,473645.7131504324,,,56827.9,119979.76213489164
angeles,Angeles,Region III (Central Luzon),2023,69727.85,FamilyIncome_Total,129770.1107250988,537318.2592693431,7.3725393315067995,3961400.0,69727.85,129770.1107250988
angeles,Angeles,Region III (Central Luzon),2024,69727.85,FamilyIncome_Total,130531.58037747465,534183.7568989756,7.263606386620561,3880100.548240364,69727.85,130531.58037747465
angeles,Angeles,Region III (Central Luzon),2025,73911.52100000001,FamilyIncome_Total,133637.74608789518,553073.6873651514,7.134641877925424,3945982.691454042,73911.52100000001,133637.74608789518
angeles,Angeles,Region III (Central Luzon),2026,78346.21226000001,FamilyIncome_Total,136817.2075865217,572634.2003468733,7.004601437970796,4011074.343180965,78346.21226000001,136817.2075865217
angeles,Angeles,Region III (Central Luzon),2027,83046.98499560003,FamilyIncome_Total,140071.67969984855,592889.1919733994,6.8738213386115135,4075414.379218891,83046.98499560003,140071.67969984855
angeles,Angeles,Region III (Central Luzon),2028,88029.80409533603,FamilyIncome_Total,143402.9170272792,613863.4131033075,6.742605519215449,4139038.837234794,88029.80409533603,143402.9170272792
angeles,Angeles,Region III (Central Luzon),2029,93311.5923410562,FamilyIncome_Total,146812.71485548612,635582.5000096667,6.611228592719448,4201981.197096017,93311.5923410562,146812.71485548612
aurora,Aurora,Region III (Central Luzon),2018,14727.37,FamilyIncome_Total,,,,,14727.37,
aurora,Aurora,Region III (Central Luzon),2021,15420.13,FamilyIncome_Total,58819.91776804633,262158.30598078325,,,15420.13,58819.91776804633
aurora,Aurora,Region III (Central Luzon),2023,17467.09,FamilyIncome_Total,63619.62305791892,274555.06902482064,14.428435118937385,3961400.0,17467.09,63619.62305791892
aurora,Aurora,Region III (Central Luzon),2024,17467.09,FamilyIncome_Total,63992.932535606094,272953.42325937626,14.215247795420636,3880100.548240364,17467.09,63992.932535606094
aurora,Aurora,Region III (Central Luzon),2025,18515.1154,FamilyIncome_Total,65515.72611687232,282605.6658056605,13.962857680877415,3945982.691454042,18515.1154,65515.72611687232
aurora,Aurora,Region III (Central Luzon),2026,19626.022324,FamilyIncome_Total,67074.45286018442,292600.5578444317,13.708361914038289,4011074.343180965,19626.022324,67074.45286018442
aurora,Aurora,Region III (Central Luzon),2027,20803.583663440004,FamilyIncome_Total,68669.95345693562,302950.30965014955,13.452418596056976,4075414.379218891,20803.583663440004,68669.95345693562
