Area_slug,chosen_method,backtest_mape
angeles,Linear,2.9861527451762746
aurora,Linear,2.9861527451762746
bataan,Linear,2.9861527451762746
batangas,Linear,2.215450179366341
bulacan,Linear,2.9861527451762746
caloocan,Linear,6.831636768554896
cavite,Linear,2.215450179366341
laguna,Linear,2.215450179366341
las pinas,Linear,6.831636768554896
lucena,Linear,2.215450179366341
makati,Linear,6.831636768554896
malabon,Linear,6.831636768554896
mandaluyong,Linear,6.831636768554896
manila,Linear,6.831636768554896
marikina,Linear,6.831636768554896
muntinlupa,Linear,6.831636768554896
navotas,Linear,6.831636768554896
nueva ecija,Linear,2.9861527451762746
olongapo,Linear,2.9861527451762746
pampanga,Linear,2.9861527451762746
paranaque,Linear,6.831636768554896
pasay city,Linear,6.831636768554896
pasig,Linear,6.831636768554896
pateros,Linear,6.831636768554896
quezon,Linear,2.215450179366341
quezon city,Linear,6.831636768554896
rizal,Linear,2.215450179366341
san juan,Linear,6.831636768554896
taguig,Linear,6.831636768554896
tarlac,Linear,2.9861527451762746
valenzuela,Linear,6.831636768554896
zambales,Linear,2.9861527451762746
