Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
angeles,2018,151004.0,Consumption_Const2018,history,ETS,,,,
angeles,2019,156501.0,Consumption_Const2018,history,ETS,,,,
angeles,2020,142924.0,Consumption_Const2018,history,ETS,,,,
angeles,2021,142223.0,Consumption_Const2018,history,ETS,,,,
angeles,2022,150809.0,Consumption_Const2018,history,ETS,,,,
angeles,2023,157109.0,Consumption_Const2018,history,ETS,,,,
angeles,2024,151216.99395108753,Consumption_Const2018,forecast,ETS,151216.8848994084,151217.10300276664,151216.8269657039,151217.16093647116
angeles,2025,151572.14523803064,Consumption_Const2018,forecast,ETS,151572.03618635153,151572.25428970976,151571.978252647,151572.31222341428
angeles,2026,151928.13064046146,Consumption_Const2018,forecast,ETS,151928.02158878234,151928.23969214057,151927.96365507782,151928.2976258451
angeles,2027,152284.95211739992,Consumption_Const2018,forecast,ETS,152284.8430657208,152285.06116907904,152284.7851320163,152285.11910278356
angeles,2028,152642.61163246777,Consumption_Const2018,forecast,ETS,152642.50258078866,152642.7206841469,152642.44464708414,152642.7786178514
angeles,2029,153001.1111538983,Consumption_Const2018,forecast,ETS,153001.00210221918,153001.2202055774,153000.94416851466,153001.27813928193
aurora,2018,151004.0,Consumption_Const2018,history,ETS,,,,
aurora,2019,156501.0,Consumption_Const2018,history,ETS,,,,
aurora,2020,142924.0,Consumption_Const2018,history,ETS,,,,
aurora,2021,142223.0,Consumption_Const2018,history,ETS,,,,
aurora,2022,150809.0,Consumption_Const2018,history,ETS,,,,
aurora,2023,157109.0,Consumption_Const2018,history,ETS,,,,
aurora,2024,151216.99395108753,Consumption_Const2018,forecast,ETS,151216.8848994084,151217.10300276664,151216.8269657039,151217.16093647116
aurora,2025,151572.14523803064,Consumption_Const2018,forecast,ETS,151572.03618635153,151572.25428970976,151571.978252647,151572.31222341428
aurora,2026,151928.13064046146,Consumption_Const2018,forecast,ETS,151928.02158878234,151928.23969214057,151927.96365507782,151928.2976258451
aurora,2027,152284.95211739992,Consumption_Const2018,forecast,ETS,152284.8430657208,152285.06116907904,152284.7851320163,152285.11910278356
aurora,2028,152642.61163246777,Consumption_Const2018,forecast,ETS,152642.50258078866,152642.7206841469,152642.44464708414,152642.7786178514
aurora,2029,153001.1111538983,Consumption_Const2018,forecast,ETS,153001.00210221918,153001.2202055774,153000.94416851466,153001.27813928193
bataan,2018,151004.0,Consumption_Const2018,history,ETS,,,,
bataan,2019,156501.0,Consumption_Const2018,history,ETS,,,,
bataan,2020,142924.0,Consumption_Const2018,history,ETS,,,,
bataan,2021,142223.0,Consumption_Const2018,history,ETS,,,,
bataan,2022,150809.0,Consumption_Const2018,history,ETS,,,,
bataan,2023,157109.0,Consumption_Const2018,history,ETS,,,,
bataan,2024,151216.99395108753,Consumption_Const2018,forecast,ETS,151216.8848994084,151217.10300276664,151216.8269657039,151217.16093647116
bataan,2025,151572.14523803064,Consumption_Const2018,forecast,ETS,151572.03618635153,151572.25428970976,151571.978252647,151572.31222341428
bataan,2026,151928.13064046146,Consumption_Const2018,forecast,ETS,151928.02158878234,151928.23969214057,151927.96365507782,151928.2976258451
bataan,2027,152284.95211739992,Consumption_Const2018,forecast,ETS,152284.8430657208,152285.06116907904,152284.7851320163,152285.11910278356
bataan,2028,152642.61163246777,Consumption_Const2018,forecast,ETS,152642.50258078866,152642.7206841469,152642.44464708414,152642.7786178514
bataan,2029,153001.1111538983,Consumption_Const2018,forecast,ETS,153001.00210221918,153001.2202055774,153000.94416851466,153001.27813928193
batangas,2018,142974.0,Consumption_Const2018,history,ETS,,,,
batangas,2019,148586.0,Consumption_Const2018,history,ETS,,,,
batangas,2020,133961.0,Consumption_Const2018,history,ETS,,,,
batangas,2021,137597.0,Consumption_Const2018,history,ETS,,,,
batangas,2022,146502.0,Consumption_Const2018,history,ETS,,,,
batangas,2023,152754.0,Consumption_Const2018,history,ETS,,,,
batangas,2024,148183.62986866213,Consumption_Const2018,forecast,ETS,148183.52400652468,148183.73573079958,148183.46776726414,148183.79197006012
batangas,2025,149524.30669294007,Consumption_Const2018,forecast,ETS,149524.2008308026,149524.41255507752,149524.14459154208,149524.46879433806
batangas,2026,150877.11315899252,Consumption_Const2018,forecast,ETS,150877.00729685507,150877.21902112997,150876.95105759453,150877.2752603905
batangas,2027,152242.15900856137,Consumption_Const2018,forecast,ETS,152242.05314642392,152242.26487069883,152241.99690716338,152242.32110995936
batangas,2028,153619.5549762652,Consumption_Const2018,forecast,ETS,153619.44911412775,153619.66083840266,153619.39287486722,153619.7170776632
batangas,2029,155009.41279858412,Consumption_Const2018,forecast,ETS,155009.30693644666,155009.51866072157,155009.25069718613,155009.5748999821
bulacan,2018,151004.0,Consumption_Const2018,history,ETS,,,,
bulacan,2019,156501.0,Consumption_Const2018,history,ETS,,,,
bulacan,2020,142924.0,Consumption_Const2018,history,ETS,,,,
bulacan,2021,142223.0,Consumption_Const2018,history,ETS,,,,
bulacan,2022,150809.0,Consumption_Const2018,history,ETS,,,,
bulacan,2023,157109.0,Consumption_Const2018,history,ETS,,,,
bulacan,2024,151216.99395108753,Consumption_Const2018,forecast,ETS,151216.8848994084,151217.10300276664,151216.8269657039,151217.16093647116
