Area_slug,Year,Value,variable,type,method,pi80_lo,pi80_hi,pi95_lo,pi95_hi
angeles,2000,707245644.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2001,749289527.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2002,791683392.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2003,826169061.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2004,852296755.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2005,885593565.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2006,927301530.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2007,981902705.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2008,1032623864.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2009,1039474095.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2010,1143777786.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2011,1233431610.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2012,1336963348.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2013,1417025690.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2014,1526621058.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2015,1619134911.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2016,1747565400.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2017,1929193858.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2018,2062393875.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2019,2183779631.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2020,1881277315.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2021,2021186175.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2022,2184784695.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2023,2318428274.0,GRDP_Const2018,history,ARIMA,,,,
angeles,2024,2435606967.4980345,GRDP_Const2018,forecast,ARIMA,2435606967.4041953,2435606967.5918736,2435606967.3543434,2435606967.6417255
angeles,2025,2558683050.21954,GRDP_Const2018,forecast,ARIMA,2558683050.125701,2558683050.3133793,2558683050.075849,2558683050.363231
angeles,2026,2687952059.4477425,GRDP_Const2018,forecast,ARIMA,2687952059.3539033,2687952059.5415816,2687952059.3040514,2687952059.5914335
angeles,2027,2823724279.036048,GRDP_Const2018,forecast,ARIMA,2823724278.942209,2823724279.129887,2823724278.892357,2823724279.179739
angeles,2028,2966325472.0312324,GRDP_Const2018,forecast,ARIMA,2966325471.937393,2966325472.1250715,2966325471.8875413,2966325472.1749234
angeles,2029,3116097649.5347347,GRDP_Const2018,forecast,ARIMA,3116097649.4408956,3116097649.628574,3116097649.3910437,3116097649.678426
aurora,2000,707245644.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2001,749289527.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2002,791683392.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2003,826169061.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2004,852296755.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2005,885593565.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2006,927301530.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2007,981902705.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2008,1032623864.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2009,1039474095.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2010,1143777786.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2011,1233431610.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2012,1336963348.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2013,1417025690.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2014,1526621058.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2015,1619134911.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2016,1747565400.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2017,1929193858.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2018,2062393875.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2019,2183779631.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2020,1881277315.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2021,2021186175.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2022,2184784695.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2023,2318428274.0,GRDP_Const2018,history,ARIMA,,,,
aurora,2024,2435606967.4980345,GRDP_Const2018,forecast,ARIMA,2435606967.4041953,2435606967.5918736,2435606967.3543434,2435606967.6417255
aurora,2025,2558683050.21954,GRDP_Const2018,forecast,ARIMA,2558683050.125701,2558683050.3133793,2558683050.075849,2558683050.363231
aurora,2026,2687952059.4477425,GRDP_Const2018,forecast,ARIMA,2687952059.3539033,2687952059.5415816,2687952059.3040514,2687952059.5914335
aurora,2027,2823724279.036048,GRDP_Const2018,forecast,ARIMA,2823724278.942209,2823724279.129887,2823724278.892357,2823724279.179739
aurora,2028,2966325472.0312324,GRDP_Const2018,forecast,ARIMA,2966325471.937393,2966325472.1250715,2966325471.8875413,2966325472.1749234
aurora,2029,3116097649.5347347,GRDP_Const2018,forecast,ARIMA,3116097649.4408956,3116097649.628574,3116097649.3910437,3116097649.678426
bataan,2000,707245644.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2001,749289527.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2002,791683392.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2003,826169061.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2004,852296755.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2005,885593565.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2006,927301530.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2007,981902705.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2008,1032623864.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2009,1039474095.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2010,1143777786.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2011,1233431610.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2012,1336963348.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2013,1417025690.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2014,1526621058.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2015,1619134911.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2016,1747565400.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2017,1929193858.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2018,2062393875.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2019,2183779631.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2020,1881277315.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2021,2021186175.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2022,2184784695.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2023,2318428274.0,GRDP_Const2018,history,ARIMA,,,,
bataan,2024,2435606967.4980345,GRDP_Const2018,forecast,ARIMA,2435606967.4041953,2435606967.5918736,2435606967.3543434,2435606967.6417255
bataan,2025,2558683050.21954,GRDP_Const2018,forecast,ARIMA,2558683050.125701,2558683050.3133793,2558683050.075849,2558683050.363231
bataan,2026,2687952059.4477425,GRDP_Const2018,forecast,ARIMA,2687952059.3539033,2687952059.5415816,2687952059.3040514,2687952059.5914335
bataan,2027,2823724279.036048,GRDP_Const2018,forecast,ARIMA,2823724278.942209,2823724279.129887,2823724278.892357,2823724279.179739
bataan,2028,2966325472.0312324,GRDP_Const2018,forecast,ARIMA,2966325471.937393,2966325472.1250715,2966325471.8875413,2966325472.1749234
bataan,2029,3116097649.5347347,GRDP_Const2018,forecast,ARIMA,3116097649.4408956,3116097649.628574,3116097649.3910437,3116097649.678426
batangas,2000,1050505077.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2001,1068135114.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2002,1120500727.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2003,1179350176.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2004,1244396888.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2005,1310160075.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2006,1369674210.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2007,1446188225.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2008,1497994676.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2009,1486472826.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2010,1638482343.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2011,1676719329.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2012,1809708699.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2013,1942476533.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2014,2054936917.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2015,2196313576.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2016,2346818115.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2017,2527658901.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2018,2706994745.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2019,2831599919.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2020,2534444265.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2021,2728935837.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2022,2942514950.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2023,3095255701.0,GRDP_Const2018,history,ARIMA,,,,
batangas,2024,3238510401.045509,GRDP_Const2018,forecast,ARIMA,3238510400.963358,3238510401.12766,3238510400.9197154,3238510401.1713023
batangas,2025,3388386919.7510304,GRDP_Const2018,forecast,ARIMA,3388386919.6688795,3388386919.8331814,3388386919.625237,3388386919.876824
batangas,2026,3545190960.646494,GRDP_Const2018,forecast,ARIMA,3545190960.564343,3545190960.728645,3545190960.5207005,3545190960.7722874
batangas,2027,3709242322.6517124,GRDP_Const2018,forecast,ARIMA,3709242322.5695615,3709242322.7338634,3709242322.525919,3709242322.777506
batangas,2028,3880875549.1678843,GRDP_Const2018,forecast,ARIMA,3880875549.0857334,3880875549.2500353,3880875549.042091,3880875549.293678
batangas,2029,4060440607.021844,GRDP_Const2018,forecast,ARIMA,4060440606.939693,4060440607.103995,4060440606.8960505,4060440607.1476374
bulacan,2000,707245644.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2001,749289527.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2002,791683392.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2003,826169061.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2004,852296755.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2005,885593565.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2006,927301530.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2007,981902705.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2008,1032623864.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2009,1039474095.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2010,1143777786.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2011,1233431610.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2012,1336963348.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2013,1417025690.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2014,1526621058.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2015,1619134911.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2016,1747565400.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2017,1929193858.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2018,2062393875.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2019,2183779631.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2020,1881277315.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2021,2021186175.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2022,2184784695.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2023,2318428274.0,GRDP_Const2018,history,ARIMA,,,,
bulacan,2024,2435606967.4980345,GRDP_Const2018,forecast,ARIMA,2435606967.4041953,2435606967.5918736,2435606967.3543434,2435606967.6417255
bulacan,2025,2558683050.21954,GRDP_Const2018,forecast,ARIMA,2558683050.125701,2558683050.3133793,2558683050.075849,2558683050.363231
bulacan,2026,2687952059.4477425,GRDP_Const2018,forecast,ARIMA,2687952059.3539033,2687952059.5415816,2687952059.3040514,2687952059.5914335
bulacan,2027,2823724279.036048,GRDP_Const2018,forecast,ARIMA,2823724278.942209,2823724279.129887,2823724278.892357,2823724279.179739
bulacan,2028,2966325472.0312324,GRDP_Const2018,forecast,ARIMA,2966325471.937393,2966325472.1250715,2966325471.8875413,2966325472.1749234
bulacan,2029,3116097649.5347347,GRDP_Const2018,forecast,ARIMA,3116097649.4408956,3116097649.628574,3116097649.3910437,3116097649.678426
cavite,2000,1050505077.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2001,1068135114.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2002,1120500727.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2003,1179350176.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2004,1244396888.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2005,1310160075.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2006,1369674210.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2007,1446188225.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2008,1497994676.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2009,1486472826.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2010,1638482343.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2011,1676719329.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2012,1809708699.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2013,1942476533.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2014,2054936917.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2015,2196313576.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2016,2346818115.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2017,2527658901.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2018,2706994745.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2019,2831599919.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2020,2534444265.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2021,2728935837.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2022,2942514950.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2023,3095255701.0,GRDP_Const2018,history,ARIMA,,,,
cavite,2024,3238510401.045509,GRDP_Const2018,forecast,ARIMA,3238510400.963358,3238510401.12766,3238510400.9197154,3238510401.1713023
cavite,2025,3388386919.7510304,GRDP_Const2018,forecast,ARIMA,3388386919.6688795,3388386919.8331814,3388386919.625237,3388386919.876824
cavite,2026,3545190960.646494,GRDP_Const2018,forecast,ARIMA,3545190960.564343,3545190960.728645,3545190960.5207005,3545190960.7722874
cavite,2027,3709242322.6517124,GRDP_Const2018,forecast,ARIMA,3709242322.5695615,3709242322.7338634,3709242322.525919,3709242322.777506
cavite,2028,3880875549.1678843,GRDP_Const2018,forecast,ARIMA,3880875549.0857334,3880875549.2500353,3880875549.042091,3880875549.293678
cavite,2029,4060440607.021844,GRDP_Const2018,forecast,ARIMA,4060440606.939693,4060440607.103995,4060440606.8960505,4060440607.1476374
laguna,2000,1050505077.0,GRDP_Const2018,history,ARIMA,,,,
laguna,2001,1068135114.0,GRDP_Const2018,history,ARIMA,,,,
laguna,2002,1120500727.0,GRDP_Const2018,history,ARIMA,,,,
