Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region
angeles,109497.0,109497.0,0.95,2020,Angeles,Region III (Central Luzon)
angeles,112159.14918568335,106551.19172639918,0.95,2021,Angeles,Region III (Central Luzon)
angeles,117706.44384825192,111821.12165583932,0.95,2022,Angeles,Region III (Central Luzon)
angeles,121947.48838268981,115850.11396355531,0.95,2023,Angeles,Region III (Central Luzon)
angeles,122504.04110972729,116378.83905424092,0.95,2024,Angeles,Region III (Central Luzon)
angeles,124771.37234395013,118532.80372675262,0.95,2025,Angeles,Region III (Central Luzon)
angeles,127080.21804625662,120726.20714394379,0.95,2026,Angeles,Region III (Central Luzon)
angeles,129431.33002468756,122959.76352345318,0.95,2027,Angeles,Region III (Central Luzon)
angeles,131825.47355009787,125234.19987259297,0.95,2028,Angeles,Region III (Central Luzon)
angeles,134263.42759448668,127550.25621476234,0.95,2029,Angeles,Region III (Central Luzon)
aurora,56540.0,56540.0,0.95,2020,Aurora,Region III (Central Luzon)
aurora,57914.630491780925,55018.898967191875,0.95,2021,Aurora,Region III (Central Luzon)
aurora,60779.03810314586,57740.08619798857,0.95,2022,Aurora,Region III (Central Luzon)
aurora,62968.948858482705,59820.50141555857,0.95,2023,Aurora,Region III (Central Luzon)
aurora,63256.33108070522,60093.514526669955,0.95,2024,Aurora,Region III (Central Luzon)
aurora,64427.09290964081,61205.73826415876,0.95,2025,Aurora,Region III (Central Luzon)
aurora,65619.29119825519,62338.32663834243,0.95,2026,Aurora,Region III (Central Luzon)
aurora,66833.31415103457,63491.648443482845,0.95,2027,Aurora,Region III (Central Luzon)
aurora,68069.55692413976,64666.07907793277,0.95,2028,Aurora,Region III (Central Luzon)
aurora,69328.4217484705,65862.00066104697,0.95,2029,Aurora,Region III (Central Luzon)
bataan,199002.0,199002.0,0.95,2020,Bataan,Region III (Central Luzon)
bataan,203840.24225548972,193648.2301427152,0.95,2021,Bataan,Region III (Central Luzon)
bataan,213922.0046091658,203225.9043787075,0.95,2022,Bataan,Region III (Central Luzon)
bataan,221629.7623051959,210548.2741899361,0.95,2023,Bataan,Region III (Central Luzon)
