Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region
angeles,109497.0,109497.0,0.95,2020,Angeles,Region III (Central Luzon)
angeles,111398.53513263096,105828.6083759994,0.95,2021,Angeles,Region III (Central Luzon)
angeles,115334.01752430273,109567.3166480876,0.95,2022,Angeles,Region III (Central Luzon)
angeles,118302.27779150737,112387.163901932,0.95,2023,Angeles,Region III (Central Luzon)
angeles,118687.93240044029,112753.53578041827,0.95,2024,Angeles,Region III (Central Luzon)
angeles,120257.00516512571,114244.15490686941,0.95,2025,Angeles,Region III (Central Luzon)
angeles,121846.51166083942,115754.18607779744,0.95,2026,Angeles,Region III (Central Luzon)
angeles,123456.71390440829,117283.87820918787,0.95,2027,Angeles,Region III (Central Luzon)
angeles,125087.87721927348,118833.4833583098,0.95,2028,Angeles,Region III (Central Luzon)
angeles,126740.2702765382,120403.25676271129,0.95,2029,Angeles,Region III (Central Luzon)
aurora,56540.0,56540.0,0.95,2020,Aurora,Region III (Central Luzon)
aurora,57521.878922700664,54645.78497656563,0.95,2021,Aurora,Region III (Central Luzon)
aurora,59554.00924978837,56576.30878729895,0.95,2022,Aurora,Region III (Central Luzon)
aurora,61086.703620481174,58032.36843945711,0.95,2023,Aurora,Region III (Central Luzon)
aurora,61285.840688976816,58221.54865452797,0.95,2024,Aurora,Region III (Central Luzon)
aurora,62096.048951443496,58991.24650387132,0.95,2025,Aurora,Region III (Central Luzon)
aurora,62916.808399352136,59770.96797938453,0.95,2026,Aurora,Region III (Central Luzon)
aurora,63748.25432802035,60560.84161161933,0.95,2027,Aurora,Region III (Central Luzon)
aurora,64590.523740173,61360.99755316434,0.95,2028,Aurora,Region III (Central Luzon)
aurora,65443.75536713764,62171.567598780755,0.95,2029,Aurora,Region III (Central Luzon)
bataan,199002.0,199002.0,0.95,2020,Bataan,Region III (Central Luzon)
bataan,202457.8873253498,192334.9929590823,0.95,2021,Bataan,Region III (Central Luzon)
bataan,209610.31037719108,199129.79485833153,0.95,2022,Bataan,Region III (Central Luzon)
bataan,215004.88492895284,204254.64068250518,0.95,2023,Bataan,Region III (Central Luzon)
bataan,215705.7811953973,204920.49213562743,0.95,2024,Bataan,Region III (Central Luzon)
bataan,218557.44487858433,207629.5726346551,0.95,2025,Bataan,Region III (Central Luzon)
bataan,221446.24522617392,210373.9329648652,0.95,2026,Bataan,Region III (Central Luzon)
bataan,224372.65843269732,213154.02551106244,0.95,2027,Bataan,Region III (Central Luzon)
bataan,227337.1667021915,215970.30836708192,0.95,2028,Bataan,Region III (Central Luzon)
bataan,230340.25832280022,218823.2454066602,0.95,2029,Bataan,Region III (Central Luzon)
batangas,674774.0,674774.0,0.95,2020,Batangas,Region IV-A (Calabarzon)
batangas,692298.1447416511,657683.2375045685,0.95,2021,Batangas,Region IV-A (Calabarzon)
batangas,717044.791209791,681192.5516493014,0.95,2022,Batangas,Region IV-A (Calabarzon)
batangas,733999.9280319734,697299.9316303747,0.95,2023,Batangas,Region IV-A (Calabarzon)
batangas,737002.3947210736,700152.2749850198,0.95,2024,Batangas,Region IV-A (Calabarzon)
batangas,747196.402461137,709836.5823380802,0.95,2025,Batangas,Region IV-A (Calabarzon)
batangas,757530.9321636851,719654.3855555009,0.95,2026,Batangas,Region IV-A (Calabarzon)
batangas,768007.9142753723,729607.5185616036,0.95,2027,Batangas,Region IV-A (Calabarzon)
batangas,778629.3056716142,739697.8403880335,0.95,2028,Batangas,Region IV-A (Calabarzon)
batangas,789397.0900171592,749927.2355163012,0.95,2029,Batangas,Region IV-A (Calabarzon)
bulacan,865286.0,865286.0,0.95,2020,Bulacan,Region III (Central Luzon)
bulacan,880312.6375222491,836297.0056461366,0.95,2021,Bulacan,Region III (Central Luzon)
bulacan,911412.2824144389,865841.668293717,0.95,2022,Bulacan,Region III (Central Luzon)
bulacan,934868.578509934,888125.1495844373,0.95,2023,Bulacan,Region III (Central Luzon)
bulacan,937916.1645985495,891020.3563686219,0.95,2024,Bulacan,Region III (Central Luzon)
bulacan,950315.5608949191,902799.7828501731,0.95,2025,Bulacan,Region III (Central Luzon)
bulacan,962876.4321302052,914732.6105236949,0.95,2026,Bulacan,Region III (Central Luzon)
bulacan,975600.8488587799,926820.8064158409,0.95,2027,Bulacan,Region III (Central Luzon)
bulacan,988490.9077651101,939066.3623768546,0.95,2028,Bulacan,Region III (Central Luzon)
bulacan,1001548.7319881332,951471.2953887265,0.95,2029,Bulacan,Region III (Central Luzon)
caloocan,379922.0,379922.0,0.95,2020,Caloocan,NCR
caloocan,379922.0,360925.89999999997,0.95,2021,Caloocan,NCR
caloocan,388441.4041865111,369019.33397718554,0.95,2022,Caloocan,NCR
caloocan,393032.343351585,373380.72618400573,0.95,2023,Caloocan,NCR
caloocan,393032.343351585,373380.72618400573,0.95,2024,Caloocan,NCR
caloocan,393861.6997829923,374168.61479384266,0.95,2025,Caloocan,NCR
caloocan,394692.8062792528,374958.16596529016,0.95,2026,Caloocan,NCR
caloocan,395525.6665332627,375749.38320659957,0.95,2027,Caloocan,NCR
caloocan,396360.28424571024,376542.2700334247,0.95,2028,Caloocan,NCR
caloocan,397196.6631250931,377336.8299688384,0.95,2029,Caloocan,NCR
cavite,1036970.0,1036970.0,0.95,2020,Cavite,Region IV-A (Calabarzon)
cavite,1063900.5165473921,1010705.4907200225,0.95,2021,Cavite,Region IV-A (Calabarzon)
cavite,1101930.330956464,1046833.8144086407,0.95,2022,Cavite,Region IV-A (Calabarzon)
cavite,1127986.4152609846,1071587.0944979354,0.95,2023,Cavite,Region IV-A (Calabarzon)
cavite,1132600.505137886,1075970.4798809916,0.95,2024,Cavite,Region IV-A (Calabarzon)
cavite,1148266.3135510935,1090852.9978735386,0.95,2025,Cavite,Region IV-A (Calabarzon)
cavite,1164148.0713924614,1105940.6678228383,0.95,2026,Cavite,Region IV-A (Calabarzon)
cavite,1180248.745307515,1121236.308042139,0.95,2027,Cavite,Region IV-A (Calabarzon)
cavite,1196571.3425566102,1136742.7754287797,0.95,2028,Cavite,Region IV-A (Calabarzon)
cavite,1213118.9115690496,1152462.9659905971,0.95,2029,Cavite,Region IV-A (Calabarzon)
laguna,834930.0,834930.0,0.95,2020,Laguna,Region IV-A (Calabarzon)
laguna,856613.4587123197,813782.7857767037,0.95,2021,Laguna,Region IV-A (Calabarzon)
laguna,887233.6627149102,842871.9795791646,0.95,2022,Laguna,Region IV-A (Calabarzon)
laguna,908213.0608347915,862802.4077930519,0.95,2023,Laguna,Region IV-A (Calabarzon)
laguna,911928.1558336065,866331.7480419262,0.95,2024,Laguna,Region IV-A (Calabarzon)
laguna,924541.6870046522,878314.6026544196,0.95,2025,Laguna,Region IV-A (Calabarzon)
laguna,937329.0926909242,890462.6380563779,0.95,2026,Laguna,Region IV-A (Calabarzon)
laguna,950292.7615259874,902778.123449688,0.95,2027,Laguna,Region IV-A (Calabarzon)
laguna,963435.1148449717,915263.3591027231,0.95,2028,Laguna,Region IV-A (Calabarzon)
laguna,976758.6071307234,927920.6767741872,0.95,2029,Laguna,Region IV-A (Calabarzon)
las pinas,142990.0,142990.0,0.95,2020,Las Piñas,NCR
las pinas,142990.0,135840.5,0.95,2021,Las Piñas,NCR
las pinas,146196.420277397,138886.59926352714,0.95,2022,Las Piñas,NCR
las pinas,147924.29702897734,140528.08217752847,0.95,2023,Las Piñas,NCR
las pinas,147924.29702897734,140528.08217752847,0.95,2024,Las Piñas,NCR
las pinas,148236.439195335,140824.61723556824,0.95,2025,Las Piñas,NCR
las pinas,148549.24002787506,141121.7780264813,0.95,2026,Las Piñas,NCR
las pinas,148862.70091648083,141419.56587065678,0.95,2027,Las Piñas,NCR
las pinas,149176.8232539682,141717.98209126978,0.95,2028,Las Piñas,NCR
las pinas,149491.60843609233,142017.0280142877,0.95,2029,Las Piñas,NCR
lucena,63782.0,63782.0,0.95,2020,Lucena,Region IV-A (Calabarzon)
lucena,65438.44349057906,62166.52131605011,0.95,2021,Lucena,Region IV-A (Calabarzon)
lucena,67777.58312107889,64388.70396502494,0.95,2022,Lucena,Region IV-A (Calabarzon)
lucena,69380.24199174142,65911.22989215436,0.95,2023,Lucena,Region IV-A (Calabarzon)
lucena,69664.04565098761,66180.84336843823,0.95,2024,Lucena,Region IV-A (Calabarzon)
lucena,70627.61893875022,67096.23799181271,0.95,2025,Lucena,Region IV-A (Calabarzon)
lucena,71604.47485419438,68024.25111148466,0.95,2026,Lucena,Region IV-A (Calabarzon)
lucena,72594.7958698939,68965.05607639921,0.95,2027,Lucena,Region IV-A (Calabarzon)
lucena,73598.7669565616,69918.82860873351,0.95,2028,Lucena,Region IV-A (Calabarzon)
lucena,74616.57561713172,70885.74683627512,0.95,2029,Lucena,Region IV-A (Calabarzon)
makati,180256.0,180256.0,0.95,2020,Makati,NCR
makati,180256.0,171243.19999999998,0.95,2021,Makati,NCR
makati,184298.0763236763,175083.17250749248,0.95,2022,Makati,NCR
makati,186476.27166413973,177152.45808093273,0.95,2023,Makati,NCR
makati,186476.27166413973,177152.45808093273,0.95,2024,Makati,NCR
makati,186869.76420445,177526.2759942275,0.95,2025,Makati,NCR
makati,187264.08707227532,177900.88271866154,0.95,2026,Makati,NCR
makati,187659.2420197298,178276.2799187433,0.95,2027,Makati,NCR
makati,188055.23080262457,178652.46926249334,0.95,2028,Makati,NCR
makati,188452.05518047593,179029.45242145212,0.95,2029,Makati,NCR
malabon,88079.0,88079.0,0.95,2020,Malabon,NCR
malabon,88079.0,83675.05,0.95,2021,Malabon,NCR
malabon,90054.09120646794,85551.38664614454,0.95,2022,Malabon,NCR
malabon,91118.42896716761,86562.50751880923,0.95,2023,Malabon,NCR
malabon,91118.42896716761,86562.50751880923,0.95,2024,Malabon,NCR
malabon,91310.7023420233,86745.16722492213,0.95,2025,Malabon,NCR
malabon,91503.38144216525,86928.21237005698,0.95,2026,Malabon,NCR
malabon,91696.46712373394,87111.64376754724,0.95,2027,Malabon,NCR
malabon,91889.9602446763,87295.46223244249,0.95,2028,Malabon,NCR
malabon,92083.8616647498,87479.6685815123,0.95,2029,Malabon,NCR
