Area_slug,Area_display,Region,Employment_Rate_2023,Employment_Source
angeles,Angeles,Region III (Central Luzon),0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),0.4773251777673353,region
batangas,Batangas,Region IV-A (Calabarzon),0.43831644902600225,region
bulacan,Bulacan,Region III (Central Luzon),0.4773251777673353,region
caloocan,Caloocan,NCR,0.4422879110170733,region
cavite,Cavite,Region IV-A (Calabarzon),0.43831644902600225,region
laguna,Laguna,Region IV-A (Calabarzon),0.43831644902600225,region
las pinas,Las Piñas,NCR,0.4422879110170733,region
lucena,Lucena,Region IV-A (Calabarzon),0.43831644902600225,region
makati,Makati,NCR,0.4422879110170733,region
malabon,Malabon,NCR,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,0.4422879110170733,region
manila,Manila,NCR,0.4422879110170733,region
marikina,Marikina,NCR,0.4422879110170733,region
muntinlupa,Muntinlupa,NCR,0.4422879110170733,region
navotas,Navotas,NCR,0.4422879110170733,region
nueva ecija,Nueva Ecija,Region III (Central Luzon),0.4773251777673353,region
olongapo,Olongapo,Region III (Central Luzon),0.4773251777673353,region
pampanga,Pampanga,Region III (Central Luzon),0.4773251777673353,region
paranaque,Parañaque,NCR,0.4422879110170733,region
pasay city,Pasay City,NCR,0.4422879110170733,region
pasig,Pasig,NCR,0.4422879110170733,region
pateros,Pateros,NCR,0.4422879110170733,region
quezon,Quezon,Region IV-A (Calabarzon),0.43831644902600225,region
quezon city,Quezon City,NCR,0.4422879110170733,region
rizal,Rizal,Region IV-A (Calabarzon),0.43831644902600225,region
san juan,San Juan,NCR,0.4422879110170733,region
taguig,Taguig,NCR,0.4422879110170733,region
tarlac,Tarlac,Region III (Central Luzon),0.4773251777673353,region
valenzuela,Valenzuela,NCR,0.4422879110170733,region
zambales,Zambales,Region III (Central Luzon),0.4773251777673353,region
