Area_slug,Area_display,Region,Year,Employment_Rate,Employment_Source
angeles,Angeles,Region III (Central Luzon),2023,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2024,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2025,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2026,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2027,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2028,0.4773251777673353,region
angeles,Angeles,Region III (Central Luzon),2029,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2023,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2024,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2025,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2026,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2027,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2028,0.4773251777673353,region
aurora,Aurora,Region III (Central Luzon),2029,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2023,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2024,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2025,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2026,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2027,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2028,0.4773251777673353,region
bataan,Bataan,Region III (Central Luzon),2029,0.4773251777673353,region
batangas,Batangas,Region IV-A (Calabarzon),2023,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2024,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2025,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2026,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2027,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2028,0.4383164490260022,region
batangas,Batangas,Region IV-A (Calabarzon),2029,0.4383164490260022,region
bulacan,Bulacan,Region III (Central Luzon),2023,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2024,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2025,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2026,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2027,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2028,0.4773251777673353,region
bulacan,Bulacan,Region III (Central Luzon),2029,0.4773251777673353,region
caloocan,Caloocan,NCR,2023,0.4422879110170733,region
caloocan,Caloocan,NCR,2024,0.4422879110170733,region
caloocan,Caloocan,NCR,2025,0.4422879110170733,region
caloocan,Caloocan,NCR,2026,0.4422879110170733,region
caloocan,Caloocan,NCR,2027,0.4422879110170733,region
caloocan,Caloocan,NCR,2028,0.4422879110170733,region
caloocan,Caloocan,NCR,2029,0.4422879110170733,region
cavite,Cavite,Region IV-A (Calabarzon),2023,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2024,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2025,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2026,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2027,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2028,0.4383164490260022,region
cavite,Cavite,Region IV-A (Calabarzon),2029,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2023,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2024,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2025,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2026,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2027,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2028,0.4383164490260022,region
laguna,Laguna,Region IV-A (Calabarzon),2029,0.4383164490260022,region
las pinas,Las Piñas,NCR,2023,0.4422879110170733,region
las pinas,Las Piñas,NCR,2024,0.4422879110170733,region
las pinas,Las Piñas,NCR,2025,0.4422879110170733,region
las pinas,Las Piñas,NCR,2026,0.4422879110170733,region
las pinas,Las Piñas,NCR,2027,0.4422879110170733,region
las pinas,Las Piñas,NCR,2028,0.4422879110170733,region
las pinas,Las Piñas,NCR,2029,0.4422879110170733,region
lucena,Lucena,Region IV-A (Calabarzon),2023,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2024,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2025,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2026,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2027,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2028,0.4383164490260022,region
lucena,Lucena,Region IV-A (Calabarzon),2029,0.4383164490260022,region
makati,Makati,NCR,2023,0.4422879110170733,region
makati,Makati,NCR,2024,0.4422879110170733,region
makati,Makati,NCR,2025,0.4422879110170733,region
makati,Makati,NCR,2026,0.4422879110170733,region
makati,Makati,NCR,2027,0.4422879110170733,region
makati,Makati,NCR,2028,0.4422879110170733,region
makati,Makati,NCR,2029,0.4422879110170733,region
malabon,Malabon,NCR,2023,0.4422879110170733,region
malabon,Malabon,NCR,2024,0.4422879110170733,region
malabon,Malabon,NCR,2025,0.4422879110170733,region
malabon,Malabon,NCR,2026,0.4422879110170733,region
malabon,Malabon,NCR,2027,0.4422879110170733,region
malabon,Malabon,NCR,2028,0.4422879110170733,region
malabon,Malabon,NCR,2029,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2023,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2024,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2025,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2026,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2027,0.4422879110170733,region
mandaluyong,Mandaluyong,NCR,2028,0.4422879110170733,region
