Area_slug,Area_display,Region,Year,Employment_Rate,Employment_Source
angeles,Angeles,Region III (Central Luzon),2024,95.11404290147468,"PSA Employment Rate (July 2025, region)"
angeles,Angeles,Region III (Central Luzon),2025,95.11404290147468,"PSA Employment Rate (July 2025, region)"
angeles,Angeles,Region III (Central Luzon),2026,95.11404290147468,"PSA Employment Rate (July 2025, region)"
angeles,Angeles,Region III (Central Luzon),2027,95.11404290147468,"PSA Employment Rate (July 2025, region)"
angeles,Angeles,Region III (Central Luzon),2028,95.11404290147468,"PSA Employment Rate (July 2025, region)"
angeles,Angeles,Region III (Central Luzon),2029,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2024,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2025,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2026,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2027,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2028,95.11404290147468,"PSA Employment Rate (July 2025, region)"
aurora,Aurora,Region III (Central Luzon),2029,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2024,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2025,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2026,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2027,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2028,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bataan,Bataan,Region III (Central Luzon),2029,95.11404290147468,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2024,93.41652577308828,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2025,93.41652577308828,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2026,93.41652577308828,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2027,93.41652577308828,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2028,93.41652577308828,"PSA Employment Rate (July 2025, region)"
batangas,Batangas,Region IV-A (Calabarzon),2029,93.41652577308828,"PSA Employment Rate (July 2025, region)"
bulacan,Bulacan,Region III (Central Luzon),2024,95.11404290147468,"PSA Employment Rate (July 2025, region)"
bulacan,Bulacan,Region III (Central Luzon),2025,95.11404290147468,"PSA Employment Rate (July 2025, region)"
