Area_slug,Area_display,Region,Year,Employment_Rate,Employment_Source
angeles,Angeles,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
angeles,Angeles,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
angeles,Angeles,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
angeles,Angeles,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
angeles,Angeles,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
angeles,Angeles,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
aurora,Aurora,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
aurora,Aurora,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
aurora,Aurora,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
aurora,Aurora,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
aurora,Aurora,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
aurora,Aurora,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
bataan,Bataan,Region III (Central Luzon),2024,96.15207164537787,"PSA Employment Rate (Jul2024/avg2025, regional)"
bataan,Bataan,Region III (Central Luzon),2025,96.05691563207397,"PSA Employment Rate (avg Jan/Apr/Jul 2025, regional)"
bataan,Bataan,Region III (Central Luzon),2026,95.78048410814708,"PSA Employment Rate (avg2025 + small drift, regional)"
bataan,Bataan,Region III (Central Luzon),2027,95.50405258422018,"PSA Employment Rate (avg2025 + small drift, regional)"
bataan,Bataan,Region III (Central Luzon),2028,95.22762106029329,"PSA Employment Rate (avg2025 + small drift, regional)"
bataan,Bataan,Region III (Central Luzon),2029,94.95118953636639,"PSA Employment Rate (avg2025 + small drift, regional)"
