Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
manila,Manila,NCR,2018,197174.25,FamilyIncome_Total,,,,
manila,Manila,NCR,2021,204369.69,FamilyIncome_Total,486293.0,420260.39856629644,,
manila,Manila,NCR,2023,246232.67,FamilyIncome_Total,516503.9176334028,476729.530200326,13000000.0,27.269130977762767
mandaluyong,Mandaluyong,NCR,2018,77146.17,FamilyIncome_Total,,,,
mandaluyong,Mandaluyong,NCR,2021,62352.7,FamilyIncome_Total,116954.0,533138.6699044069,,
mandaluyong,Mandaluyong,NCR,2023,93875.35,FamilyIncome_Total,124219.75883448248,755719.9505199885,28500000.0,37.71238271583275
san juan,San Juan,NCR,2018,17024.55,FamilyIncome_Total,,,,
san juan,San Juan,NCR,2021,15840.53,FamilyIncome_Total,31519.0,502570.83029283927,,
san juan,San Juan,NCR,2023,24320.15,FamilyIncome_Total,33477.115607025444,726470.890906032,30000000.0,41.295529353674354
quezon,Quezon,Region IV-A (Calabarzon),2018,340450.04,FamilyIncome_Total,,,,
quezon city,Quezon City,NCR,2018,340450.04,FamilyIncome_Total,,,,
quezon,Quezon,Region IV-A (Calabarzon),2021,315867.49,FamilyIncome_Total,503051.12,627903.3629822751,,
quezon city,Quezon City,NCR,2021,315867.49,FamilyIncome_Total,738724.0,427585.25511557766,,
quezon,Quezon,Region IV-A (Calabarzon),2023,359208.8,FamilyIncome_Total,544100.0913920001,660188.8249660409,,
quezon city,Quezon City,NCR,2023,359208.8,FamilyIncome_Total,784617.1753445307,457814.0923849506,16247500.0,35.48929635468358
marikina,Marikina,NCR,2018,48538.67,FamilyIncome_Total,,,,
marikina,Marikina,NCR,2021,51462.72,FamilyIncome_Total,104415.0,492867.1167935642,,
marikina,Marikina,NCR,2023,60399.48,FamilyIncome_Total,110901.77436173614,544621.4034681786,9700000.0,17.810537628947145
pasig,Pasig,NCR,2018,88774.66,FamilyIncome_Total,,,,
pasig,Pasig,NCR,2021,91036.89,FamilyIncome_Total,212895.0,427614.0350877193,,
pasig,Pasig,NCR,2023,130765.02,FamilyIncome_Total,226121.086555972,578296.4428115446,24500000.0,42.36581480751744
caloocan,Caloocan,NCR,2018,141351.28,FamilyIncome_Total,,,,
caloocan,Caloocan,NCR,2021,129885.82,FamilyIncome_Total,404252.0,321299.14014030853,,
caloocan,Caloocan,NCR,2023,154161.91,FamilyIncome_Total,429366.1264117278,359045.3473550707,4500000.0,12.533235796395978
malabon,Malabon,NCR,2018,31750.68,FamilyIncome_Total,,,,
malabon,Malabon,NCR,2021,31403.2,FamilyIncome_Total,94241.0,333222.27056164516,,
malabon,Malabon,NCR,2023,34270.92,FamilyIncome_Total,100095.71534381436,342381.4883812392,,
navotas,Navotas,NCR,2018,21905.68,FamilyIncome_Total,,,,
navotas,Navotas,NCR,2021,20510.06,FamilyIncome_Total,63167.0,324695.8063545839,,
navotas,Navotas,NCR,2023,21291.41,FamilyIncome_Total,67091.24532976859,317350.04910622723,,
valenzuela,Valenzuela,NCR,2018,60113.79,FamilyIncome_Total,,,,
