Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region,Household_Population,Units_per_1k
angeles,109497.0,109497.0,0.95,2020,Angeles,Region III (Central Luzon),461165.0,237.43562499322368
angeles,112159.14918568336,106551.19172639918,0.95,2021,Angeles,Region III (Central Luzon),475580.5420604359,235.8362869510132
angeles,117706.44384825192,111821.12165583932,0.95,2022,Angeles,Region III (Central Luzon),494603.76374285336,237.98129427387053
angeles,121947.4883826898,115850.11396355533,0.95,2023,Angeles,Region III (Central Luzon),514387.9142925676,237.073004622208
angeles,122504.04110972727,116378.83905424092,0.95,2024,Angeles,Region III (Central Luzon),517406.257916489,236.76567346330748
angeles,124771.37234395012,118532.80372675262,0.95,2025,Angeles,Region III (Central Luzon),529718.6008150398,235.54274316962514
angeles,127080.21804625662,120726.2071439438,0.95,2026,Angeles,Region III (Central Luzon),542321.4764673273,234.3263609511741
angeles,129431.33002468756,122959.76352345318,0.95,2027,Angeles,Region III (Central Luzon),555221.6821706562,233.1164905496338
angeles,131825.47355009787,125234.19987259296,0.95,2028,Angeles,Region III (Central Luzon),568426.1728757657,231.9130959138812
angeles,134263.42759448668,127550.25621476234,0.95,2029,Angeles,Region III (Central Luzon),581942.0648112069,230.71614119877086
aurora,56540.0,56540.0,0.95,2020,Aurora,Region III (Central Luzon),234991.0,240.60495933886827
aurora,57914.630491780925,55018.89896719188,0.95,2021,Aurora,Region III (Central Luzon),242336.5761914367,238.9842730386294
aurora,60779.03810314586,57740.08619798857,0.95,2022,Aurora,Region III (Central Luzon),252030.03923909416,241.15791231332713
aurora,62968.94885848271,59820.50141555857,0.95,2023,Aurora,Region III (Central Luzon),262111.24080865795,240.2374986445173
aurora,63256.33108070522,60093.51452666996,0.95,2024,Aurora,Region III (Central Luzon),263649.26643187075,239.9260651728428
aurora,64427.09290964081,61205.73826415876,0.95,2025,Aurora,Region III (Central Luzon),269923.13754106883,238.68681098091568
aurora,65619.29119825519,62338.32663834243,0.95,2026,Aurora,Region III (Central Luzon),276345.05237069965,237.454192269131
aurora,66833.31415103457,63491.648443482845,0.95,2027,Aurora,Region III (Central Luzon),282918.4745480785,236.2281722951856
aurora,68069.55692413976,64666.07907793277,0.95,2028,Aurora,Region III (Central Luzon),289646.94803432404,235.0087145267393
aurora,69328.4217484705,65862.00066104697,0.95,2029,Aurora,Region III (Central Luzon),296534.0989711932,233.79578264017928
bataan,199002.0,199002.0,0.95,2020,Bataan,Region III (Central Luzon),849575.0,234.23711855927962
bataan,203840.2422554897,193648.2301427152,0.95,2021,Bataan,Region III (Central Luzon),876131.8378909824,232.65932527480373
bataan,213922.0046091658,203225.9043787075,0.95,2022,Bataan,Region III (Central Luzon),911177.1114066216,234.77543710346893
bataan,221629.7623051959,210548.2741899361,0.95,2023,Bataan,Region III (Central Luzon),947624.1958628864,233.87938306427958
bataan,222641.252170543,211509.18956201585,0.95,2024,Bataan,Region III (Central Luzon),953184.6986857224,233.5761919778265
bataan,226761.9445207701,215423.8472947316,0.95,2025,Bataan,Region III (Central Luzon),975866.94629349,232.36973583545466
bataan,230958.08608127307,219410.1817772094,0.95,2026,Bataan,Region III (Central Luzon),999084.4239474584,231.16973955888545
bataan,235231.04320276235,223469.49104262423,0.95,2027,Bataan,Region III (Central Luzon),1022849.6538768882,229.97616737823634
