year,month,loc_code,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,1,7501,466092.5359,2004.0,,,,,,
2024,1,3901,259445.1647,920.0,,,,,,
2024,1,3902,60064.070999999996,293.0,,,,,,
2024,1,3903,46828.8224,182.0,,,,,,
2024,1,3904,12992.6618,44.0,,,,,,
2024,1,3905,117110.2063,408.0,,,,,,
2024,1,3906,146627.0873,527.0,,,,,,
2024,1,3907,14310.9547,54.0,,,,,,
2024,1,3908,56008.0519,232.0,,,,,,
2024,1,3909,28207.5271,149.0,,,,,,
2024,1,3910,103182.2805,397.0,,,,,,
2024,1,3911,36421.6092,124.0,,,,,,
2024,1,3912,16694.7711,67.0,,,,,,
2024,1,3913,47023.9371,172.0,,,,,,
2024,1,3914,58493.2296,194.0,,,,,,
2024,1,7601,227116.6847,1925.0,,,,,,
2024,1,7602,711048.7621,3794.0,,,,,,
2024,1,7502,123338.9257,1903.0,,,,,,
2024,1,7401,281087.573,2321.0,,,,,,
2024,1,7402,198056.4883,1858.0,,,,,,
2024,1,7603,322227.3479,2630.0,,,,,,
2024,1,7503,73256.1871,1917.0,,,,,,
2024,1,7604,394814.6922,2766.0,,,,,,
2024,1,7605,330464.2326,2527.0,,,,,,
2024,1,7403,535666.9454,2814.0,,,,,,
2024,1,7404,1754776.2517,5036.0,,,,,,
2024,1,7405,62968.8984,648.0,,,,,,
2024,1,7607,642037.7677,3463.0,,,,,,
2024,1,7504,271961.2734,2210.0,,,,,,
2024,1,803,49383.4114,335.0,,,,,,
2024,1,1410,78277.5118,149.0,,,,,,
2024,1,1412,88182.2845,192.0,,,,,,
2024,1,1420,180825.1102,303.0,,,,,,
2024,1,4903,181003.3846,468.0,,,,,,
2024,1,4908,44153.1182,120.0,,,,,,
2024,1,4919,21597.7373,53.0,,,,,,
2024,1,4926,105765.6006,272.0,,,,,,
2024,1,4917,61975.2383,170.0,,,,,,
2024,1,5401,335531.7657,2991.0,,,,,,
2024,1,5409,134002.6992,524.0,,,,,,
2024,1,5416,158413.5664,500.0,,,,,,
2024,1,6916,198514.7606,744.0,,,,,,
2024,1,7107,120199.5721,2523.0,,,,,,
2024,1,1005,163478.6267,369.0,,,,,,
2024,1,1014,266720.6547,547.0,,,,,,
2024,1,1031,69464.0427,143.0,,,,,,
2024,1,2103,249725.1191,391.0,,,,,,
