Area_slug,Area_display,Region,Year,Consumption_Const2018,GRDP_Const2018,PTI,Households,Price,UnitsPer1k,Flood_Index_0to1,Landslide_Index_0to1,StormSurge_Index_0to1,Fault_Proximity_Index,GRDP_MAPE_backtest,EmploymentRate_2024_2025_avg,Flood_Level,Flood_Level_Num,Flood_Why,Landslide_Level,Landslide_Level_Num,Landslide_Why,StormSurge_Level,StormSurge_Level_Num,StormSurge_Why,Nearest_Fault_Name,Fault_Distance_km,Hazard_Tooltip_Short
angeles,Angeles,Region III (Central Luzon),2024,151216.99395108753,2310908201.2535706,7.263606386620561,130531.58037747465,3880100.548240364,122504.04110972727,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
angeles,Angeles,Region III (Central Luzon),2025,151572.14523803064,2384450378.140533,7.134641877925424,133637.74608789518,3945982.691454042,124771.37234395012,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
angeles,Angeles,Region III (Central Luzon),2026,151928.13064046146,2457992555.0274963,7.004601437970796,136817.2075865217,4011074.343180965,127080.21804625662,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
angeles,Angeles,Region III (Central Luzon),2027,152284.95211739992,2531534731.9144287,6.8738213386115135,140071.67969984855,4075414.379218891,129431.33002468756,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
angeles,Angeles,Region III (Central Luzon),2028,152642.61163246777,2605076908.801392,6.742605519215449,143402.9170272792,4139038.837234794,131825.47355009787,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
angeles,Angeles,Region III (Central Luzon),2029,153001.1111538983,2678619085.6883545,6.611228592719448,146812.71485548612,4201981.197096017,134263.42759448668,0.2,0.2,0.2,0.03584229390681,2.9861527451762746,96.10449363872593,Low,1.0,Low (NOAH): shallow flooding; ~<=0.5 m depth.,Low,1.0,Low (NOAH): generally stable; standard precautions.,Low,1.0,Low (NOAH): minor storm surge potential; shallow inundation.,,27.9,Flood: Low | Surge: Low | Landslide: Low | Fault: nearest fault ~27.9 km
aurora,Aurora,Region III (Central Luzon),2024,151216.99395108753,2310908201.2535706,14.215247795420636,63992.932535606094,3880100.548240364,63256.33108070522,0.4,0.2,0.6,0.032288963045359,2.9861527451762746,96.10449363872593,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
aurora,Aurora,Region III (Central Luzon),2025,151572.14523803064,2384450378.140533,13.962857680877416,65515.72611687232,3945982.691454042,64427.09290964081,0.4,0.2,0.6,0.032288963045359,2.9861527451762746,96.10449363872593,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
aurora,Aurora,Region III (Central Luzon),2026,151928.13064046146,2457992555.0274963,13.708361914038289,67074.45286018442,4011074.343180965,65619.29119825519,0.4,0.2,0.6,0.032288963045359,2.9861527451762746,96.10449363872593,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
aurora,Aurora,Region III (Central Luzon),2027,152284.95211739992,2531534731.9144287,13.452418596056976,68669.95345693562,4075414.379218891,66833.31415103457,0.4,0.2,0.6,0.032288963045359,2.9861527451762746,96.10449363872593,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
aurora,Aurora,Region III (Central Luzon),2028,152642.61163246777,2605076908.801392,13.195622551762776,70303.08809713453,4139038.837234794,68069.55692413976,0.4,0.2,0.6,0.032288963045359,2.9861527451762746,96.10449363872593,Medium,2.0,Medium (computed): flood index ~ 0.4,Low,1.0,Low (computed): landslide index ~ 0.2,Medium,2.0,Medium (computed): storm surge index ~ 0.6,,,Flood: Medium | Surge: Medium | Landslide: Low
