Region,Province,Area_display,Year,Price,Households,UnitsPer1k,GRDP_Const2018,Consumption_Const2018,PTI,EmploymentRate_2024_2025_avg,Flood_Index_0to1,StormSurge_Index_0to1,Landslide_Index_0to1,Price_proxy,Households_proxy,Units_proxy,GRDP_proxy,Consumption_proxy,PTI_proxy,Hazard_proxy,AvgIncome_per_HH,Nearest_Fault_Name,Fault_Distance_km,Hazard_source,Flood_Level,StormSurge_Level,Landslide_Level,Fault_Proximity_Level,Flood_Tooltip,StormSurge_Tooltip,Landslide_Tooltip,Fault_Tooltip,Flood_Tooltip_ASCII,StormSurge_Tooltip_ASCII,Landslide_Tooltip_ASCII,Fault_Tooltip_ASCII,Flood_Level_tips,Flood_Level_Num,Landslide_Level_tips,Landslide_Level_Num,StormSurge_Level_tips,StormSurge_Level_Num,Flood_Level_Simple,StormSurge_Level_Simple,Landslide_Level_Simple,Fault_Proximity_Index,Fault_Proximity_Level_Simple,AvgIncome_per_HH_city,AvgIncome_per_HH_prov,AvgIncome_per_HH_ncr,name_key,prov_key,Area_slug,City,Flood_Level_tips_ascii,StormSurge_Level_tips_ascii,Landslide_Level_tips_ascii
Region III,Pampanga,Angeles,2024,3880100.548240364,219861.54620320292,604410.1039567717,770302733.7511903,50405.66465036252,7.263606386620561,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,390979.6626147216,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,534183.7568989756,390979.6626147216,528100.9087916539,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Pampanga,Angeles,2025,3945982.691454042,225093.4325703297,615596.6566171333,794816792.713511,50524.04841267688,7.134641877925424,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,404805.57653497154,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,553073.6873651514,404805.57653497154,549739.3761964802,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Pampanga,Angeles,2026,4011074.343180965,230448.77507947644,626988.0332469153,819330851.6758322,50642.71021348716,7.004601437970796,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,419122.3030684795,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,572634.2003468733,419122.3030684795,572264.4606546622,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Pampanga,Angeles,2027,4075414.379218891,235930.46210756616,638587.9431145794,843844910.638143,50761.65070579998,6.8738213386115135,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,433947.3322651289,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,592889.1919733994,433947.3322651289,595712.4905153749,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Pampanga,Angeles,2028,4139038.837234794,241541.44902322843,650400.1619113827,868358969.600464,50880.87054415592,6.742605519215449,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,449298.7797681065,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,613863.4131033075,449298.7797681065,620121.2826497357,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region III,Pampanga,Angeles,2029,4201981.197096017,247284.75972690596,662428.5329272501,892873028.5627848,51000.37038463276,6.611228592719448,94.22317323191902,0.2,0.2,0.2,True,True,True,True,True,True,True,465195.409272987,Iba Fault,27.9,City,Low,Low,Low,,Flood risk — Level: Medium (index 0.40),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km — Level: Low (index 0.03),Flood risk Level: Medium (index 0.40),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 27.9 at 27.9 km Level: Low (index 0.03),"Flood: Low (NOAH level 1/3, index 0.20)",0.2,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Low (NOAH level 1/3, index 0.20)",0.2,Low,Low,Low,0.07,Low,635582.5000096667,465195.409272987,645530.2034417075,angeles,pampanga,angeles,,"Flood: Low (NOAH level 1/3, index 0.20)","StormSurge: Low (NOAH level 1/3, index 0.20)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Rizal,Antipolo,2024,14317432.620023375,844297.1764505262,844516.5438551427,3058452095.8840027,148183.62986866213,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,443190.3936628565,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,443190.3936628565,443190.3936628565,528100.9087916539,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Rizal,Antipolo,2025,14596735.979606183,865317.7180714716,860870.101923432,3150440804.141388,149524.30669294007,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,458369.74511916697,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,458369.74511916697,458369.74511916697,549739.3761964802,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Rizal,Antipolo,2026,14875142.912948811,886860.6121943169,877539.5648018435,3242429512.398773,150877.11315899252,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,474069.5254827385,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,474069.5254827385,474069.5254827385,572264.4606546622,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
Region IV-A,Rizal,Antipolo,2027,15152758.251427278,908938.8142518424,894531.0199428938,3334418220.656189,152242.15900856137,20.0,94.22317323191902,0.6,0.6,0.2,True,True,True,True,True,True,True,490307.5960450161,Valley Fault System,4.0,Province-inherited,Medium,Medium,Low,,Flood risk — Level: Medium (index 0.60),Storm-surge risk — Level: Medium (index 0.60),Landslide risk — Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km — Level: Low (index 0.10),Flood risk Level: Medium (index 0.60),Storm-surge risk Level: Medium (index 0.60),Landslide risk Level: Low (index 0.20),Nearest fault: 4.0 at 4.0 km Level: Low (index 0.10),"Flood: Medium (NOAH level 2/3, index 0.60)",0.5,"Landslide: Low (NOAH level 1/3, index 0.20)",0.2,"StormSurge: Medium (NOAH level 2/3, index 0.60)",0.5,Medium,Medium,Low,0.8666666666666667,Low,490307.5960450161,490307.5960450161,595712.4905153749,antipolo,rizal,antipolo,,"Flood: Medium (NOAH level 2/3, index 0.60)","StormSurge: Medium (NOAH level 2/3, index 0.60)","Landslide: Low (NOAH level 1/3, index 0.20)"
